SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,01-01-2026 08:00,2.486
2,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,02-01-2026 08:00,2.349
3,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,03-01-2026 08:00,2.561
4,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,05-01-2026 08:00,2.515
5,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,06-01-2026 08:00,2.978
6,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,07-01-2026 08:00,2.717
7,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,08-01-2026 08:00,2.787
8,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,09-01-2026 08:00,2.913
9,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,10-01-2026 08:00,2.666
10,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,12-01-2026 08:00,2.727
11,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,13-01-2026 08:00,2.852
12,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,15-01-2026 08:00,2.895
13,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,16-01-2026 08:00,2.051
14,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,17-01-2026 08:00,2.387
15,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,19-01-2026 08:00,2.652
16,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,20-01-2026 08:00,2.669
17,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,21-01-2026 08:00,2.583
18,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,22-01-2026 08:00,2.632
19,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,23-01-2026 08:00,2.529
20,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,24-01-2026 08:00,2.638
21,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,27-01-2026 08:00,2.323
22,Collem,CWC,30,Goa,552,SOUTH GOA,SANGUEM,-,-,Mandavi,West flowing rivers from Tapi to Tadri,Khadepar,-,-,Khadepar,15.33861111,74.24833333,28-01-2026 08:00,2.16
