SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,01-07-2026 09:00,22.014393
2,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,02-07-2026 09:00,29.914711
3,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,03-07-2026 09:00,32.119007
4,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,04-07-2026 09:00,33.910408
5,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,06-07-2026 09:00,23.578297
6,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,07-07-2026 09:00,21.80335
7,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,08-07-2026 09:00,54.416264
8,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,09-07-2026 09:00,53.02292
9,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,10-07-2026 09:00,42.477215
10,ADKASTHALA,CWC,32,Kerala,558,KASARAGOD,KASARAGOD,-,-,Shiriya,West flowing rivers from Tadri to Kanyakumari,Shiriya,Shiriya,Shiriya,Shiriya,12.67500000,75.11500000,11-07-2026 09:00,45.05486
11,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,01-01-2026 08:00,0
12,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,02-01-2026 08:00,0
