SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,01-01-2026 08:00,62.715
2,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,02-01-2026 08:00,62.715
3,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,03-01-2026 08:00,62.2
4,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,04-01-2026 08:00,62.2
5,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,05-01-2026 08:00,62.2
6,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,06-01-2026 08:00,62.2
7,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,07-01-2026 08:00,61.687
8,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,08-01-2026 08:00,61.687
9,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,09-01-2026 08:00,61.687
10,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,10-01-2026 08:00,61.177
11,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,11-01-2026 08:00,60.669
12,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,12-01-2026 08:00,60.669
13,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,13-01-2026 08:00,60.669
14,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,14-01-2026 08:00,60.165
15,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,15-01-2026 08:00,60.165
16,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,16-01-2026 08:00,59.662
17,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,17-01-2026 08:00,59.662
18,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,18-01-2026 08:00,59.662
19,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,19-01-2026 08:00,59.163
20,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,20-01-2026 08:00,59.163
21,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,21-01-2026 08:00,59.163
22,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,22-01-2026 08:00,58.666
23,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,23-01-2026 08:00,58.666
24,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,24-01-2026 08:00,58.172
25,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,25-01-2026 08:00,58.172
26,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,26-01-2026 08:00,58.172
27,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,27-01-2026 08:00,57.68
28,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,28-01-2026 08:00,57.68
29,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,29-01-2026 08:00,57.191
30,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,30-01-2026 08:00,57.191
31,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,31-01-2026 08:00,57.191
32,ARCHUNG,CWC,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,Tuipui,-,-,Tuipui,22.64888889,93.53555556,01-02-2026 08:00,56.704
