SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,15-01-2026 09:00,4.36
2,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,16-01-2026 09:00,4.32
3,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,17-01-2026 09:00,4.11
4,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,18-01-2026 09:00,4.11
5,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,19-01-2026 09:00,3.89
6,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,20-01-2026 09:00,3.85
7,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,21-01-2026 09:00,3.87
8,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,22-01-2026 09:00,3.66
9,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,23-01-2026 09:00,3.62
10,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,24-01-2026 09:00,3.84
11,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,25-01-2026 09:00,3.84
12,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,26-01-2026 09:00,3.84
13,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,27-01-2026 09:00,3.8
14,Fekoghat,CWC,19,West Bengal,317,MEDINIPUR,MIDNAPORE,-,-,Subarnarekha,Subernarekha,Dulung,Dulang,-,Dulang,22.30861111,86.91638889,28-01-2026 09:00,3.57
