SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Manual Hourly (meter)
1,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 00:00,0.1
2,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 15:00,0.2
3,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 16:00,0.3
4,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 17:00,0.35
5,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 18:00,0.3
6,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 19:00,0.25
7,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 20:00,0.2
8,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 21:00,0.15
9,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 22:00,0.15
10,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,10-09-2012 23:00,0.15
11,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 00:00,0.3
12,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 01:00,0.15
13,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 13:00,0.85
14,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 14:00,0.7
15,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 15:00,0.6
16,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 16:00,0.5
17,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 17:00,0.45
