SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.01750000,92.63750000,10-07-2023 08:00,0.7,"","",""
2,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.01750000,92.63750000,20-07-2023 08:00,0.2,"","",""
3,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.01750000,92.63750000,20-10-2023 08:00,0.3,"","",""
4,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.01750000,92.63750000,01-11-2023 08:00,0.4,"","",""
5,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.01750000,92.63750000,20-12-2023 08:00,0.2,"","",""
6,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.01750000,92.63750000,01-04-2025 08:00,1,"","",""
7,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.01750000,92.63750000,19-04-2025 08:00,1.4,"","",""
8,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,10-07-2023 08:00,0.3,"","",""
9,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,20-10-2023 08:00,0.7,"","",""
10,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,20-12-2023 08:00,0.6,"","",""
11,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,01-01-2024 08:00,0.1,"","",""
12,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,01-05-2024 08:00,0.6,"","",""
13,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,10-07-2023 08:00,0.4,"","",""
14,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,20-07-2023 08:00,0.4,"","",""
15,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,20-10-2023 08:00,0.5,"","",""
16,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,20-12-2023 08:00,0.9,"","",""
17,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,01-01-2024 08:00,0.1,"","",""
