SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,23-07-2021 08:30,12.33,"",20000,490000
2,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,12-08-2021 08:30,5.17,"",11000,110000
3,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,21-08-2021 08:30,12.1,"",14000,70000
4,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-09-2021 08:30,3.51,"",11000,240000
5,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,13-09-2021 08:30,7.91,"",170000,14000
6,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,21-09-2021 08:30,5.29,"",7800,110000
7,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-10-2021 08:30,26.01,"",110000,790000
8,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,11-10-2021 08:30,21.4,"",78000,1.1e+06
9,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,21-10-2021 08:30,20.87,"",68000,790000
10,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,11-07-2022 08:30,14.39,"",110000,1.3e+06
11,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,21-07-2022 08:30,25.37,"",78000,790000
12,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-08-2022 08:30,37.15,"",78000,1.1e+06
13,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,11-08-2022 08:30,17.61,"",93000,790000
14,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,22-08-2022 08:30,25.95,"",45000,490000
15,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-09-2022 08:30,16.89,"",110000,1.4e+06
16,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,12-09-2022 08:30,15.05,"",78000,1.1e+06
17,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,21-09-2022 08:30,23.66,"",93000,790000
18,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,01-10-2022 08:30,25.5,"",2.3e+06,2.4e+06
19,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,11-10-2022 08:30,23.61,"",270000,1.7e+06
20,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,21-10-2022 08:30,23.44,"",220000,1.3e+06
21,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,03-10-2024 09:30,17.1,"",14000,110000
