SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,01-01-2021 08:00,0.8,"","",""
2,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,03-02-2021 08:00,0.4,"","",""
3,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,02-03-2021 08:00,1,"","",""
4,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,12-07-2021 11:46,1.8,"","",""
5,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,21-07-2021 11:53,0.6,"","",""
6,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,02-08-2021 08:00,0.82,"","",""
7,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,11-08-2021 08:00,0.8,"","",""
8,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,21-08-2021 08:00,1.41,"","",""
9,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,01-09-2021 08:00,1.76,"","",""
10,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,11-09-2021 08:00,0.8,"","",""
11,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,21-09-2021 08:00,1.44,"","",""
12,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,01-10-2021 08:01,1.59,"","",""
13,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,11-10-2021 08:00,1.62,"","",""
14,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,21-10-2021 08:00,1.21,"","",""
15,Akhnoor,CWC,1,Jammu & Kashmir,5,JAMMU,AKHNOOR,-,-,Chenab,Indus,-,-,-,Chenab,32.90083333,74.75888889,01-11-2021 08:00,1.21,"",10,1
