SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,26-07-2021 09:00,1.1,"",1100,1700
2,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,02-08-2021 09:00,0.3,"",1300,1700
3,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,11-08-2021 08:00,0.4,"","",""
4,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,23-08-2021 07:30,0.6,"","",""
5,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,01-09-2021 09:30,0.3,"",500,1300
6,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,13-09-2021 08:30,0.4,"","",""
7,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,21-09-2021 08:30,0.5,"","",""
8,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,04-10-2021 09:30,0.3,"",500,2200
9,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,11-10-2021 09:00,0.6,"","",""
10,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,21-10-2021 08:30,0.5,"","",""
11,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,01-11-2021 09:00,0.4,"",90,800
12,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,11-11-2021 09:30,0.6,"","",""
13,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,22-11-2021 09:00,0.4,"","",""
14,ADDOOR,CWC,29,Karnataka,534,Dakshin Kannada,MANGALORE,-,-,Gurpur,West flowing rivers from Tadri to Kanyakumari,-,-,-,Gurpur,12.92888889,74.95388889,01-12-2021 08:30,0.7,"","",""
15,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,07-01-2021 20:00,6,"",20,790
16,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,12-07-2021 08:00,0.2,"",490,2400
17,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,22-07-2021 08:00,0.6,"",170,790
18,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,23-08-2021 09:15,2.1,"",45,78
19,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,01-12-2021 09:00,0.5,"","",""
20,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,13-12-2021 09:15,2,"",2700,17000
21,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-12-2021 09:00,1.5,"","",""
22,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,03-01-2022 09:14,1.2,"","",""
23,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-01-2022 09:15,1.4,"","",""
24,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-01-2022 09:17,1.6,"","",""
25,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-02-2022 15:38,2.4,"","",""
26,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-02-2022 08:40,4.2,"","",""
27,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,02-03-2022 08:43,1,"","",""
28,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-03-2022 09:12,3.2,"",40,3500
29,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-03-2022 09:02,3.8,"",68,2800
30,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,04-04-2022 09:18,2.5,"",130,330
31,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-04-2022 09:04,1.4,"",78,230
