SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,01-07-2022 08:00,2.4,"",80,220
2,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,11-07-2022 08:00,2.6,"",270,800
3,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,21-07-2022 08:00,2.6,"",220,500
4,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,01-08-2022 08:00,2.4,"",500,800
5,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,23-08-2022 08:00,1.4,"",500,1100
6,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,01-09-2022 08:00,1.6,"",1300,2400
7,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,12-09-2022 08:00,3.4,"",1700,2800
8,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,21-09-2022 08:00,2.8,"",500,2200
9,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,03-10-2022 08:00,1.4,"",230,300
10,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,11-10-2022 08:00,1.6,"",220,500
11,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,21-10-2022 08:00,1.6,"",1700,3000
12,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,01-11-2022 08:00,0.8,"",40,130
13,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,14-11-2022 08:00,1,"",20,20
14,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,22-11-2022 08:00,0.8,"",3000,16000
15,Aheri (Gudem Bridge) ,CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,01-12-2022 08:00,0.8,"",20,20
