SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,02-08-2021 08:30,5.18,"",270000,340000
2,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-08-2021 08:30,1.08,"",170000,330000
3,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,23-08-2021 08:30,12.38,"",130000,270000
4,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,01-09-2021 08:30,11.27,"",170000,1.3e+06
5,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,13-09-2021 08:30,10.68,"",130000,1.7e+06
6,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-09-2021 08:30,11.55,"",11000,33000
7,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,04-10-2021 08:30,5.05,"",34000,130000
8,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-10-2021 08:30,14.17,"",22000,110000
9,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-10-2021 08:30,14.14,"",13000,70000
10,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,01-11-2021 08:30,1.22,"",23000,170000
11,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,01-07-2022 08:30,17.52,"",17000,130000
12,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-07-2022 08:30,13.94,"",13000,130000
13,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-07-2022 08:30,13.49,"",14000,110000
14,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,01-08-2022 08:30,12.96,"",22000,220000
15,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-08-2022 08:30,15.23,"",17000,170000
16,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,22-08-2022 08:30,11.99,"",13000,130000
17,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,01-09-2022 20:30,11.69,"",17000,170000
18,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,12-09-2022 08:30,17.05,"",13000,79000
19,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-09-2022 08:30,13.81,"",14000,700000
20,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,03-10-2022 08:30,1.09,"",13000,79000
21,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-10-2022 08:30,33.46,"",17000,49000
22,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-10-2022 08:30,19.51,"",14000,49000
23,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,01-11-2022 08:30,15.99,"",14000,49000
24,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-11-2022 08:30,28.82,"",11000,46000
25,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-07-2023 11:47,17.68,"",33000,170000
26,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-07-2023 11:09,11.64,"",14000,79000
27,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,01-08-2023 15:53,16.61,"",22000,220000
28,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,10-08-2023 13:18,0.97,"",13000,170000
29,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-08-2023 14:20,46.54,"",24000,94000
30,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,01-09-2023 11:26,17.9,"",17000,170000
31,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-09-2023 11:31,10.9,"",13000,7900
32,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-09-2023 11:38,7.6,"",17000,70000
33,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,03-10-2023 12:34,0.54,"",13000,110000
34,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-10-2023 15:50,1.08,"",14000,49000
35,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,22-07-2024 08:00,1.1,"",170000,790000
36,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,01-08-2024 08:00,1.4,"",33000,130000
37,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,12-08-2024 08:00,13.2,"",27000,110000
38,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-08-2024 08:07,5.5,"",17000,79000
39,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,02-09-2024 08:02,3.3,"",22000,110000
40,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,11-09-2024 08:00,1.2,"",22000,130000
41,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,23-09-2024 08:00,1.3,"",11000,79000
42,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,03-10-2024 08:00,10.5,"",21000,130000
43,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,14-10-2024 08:00,6.7,"",22000,110000
44,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,21-10-2024 08:00,4.8,"",14000,79000
45,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,01-01-2021 08:30,2.6,"","",""
46,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,01-02-2021 08:30,1.2,"","",""
47,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,01-03-2021 08:30,1.6,"","",""
48,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,06-04-2021 08:30,1.4,"","",""
49,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,03-05-2021 08:30,2.2,"","",""
50,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,21-05-2021 08:00,3,"","",""
51,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,01-06-2021 08:00,3,"","",""
52,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,11-06-2021 08:00,60,"","",""
53,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,21-06-2021 08:00,2.4,"",700,500
54,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,01-07-2021 08:00,1.2,"",1300,16000
55,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,12-07-2021 08:00,1.2,"",1300,1700
56,Bakhari,CWC,23,Madhya Pradesh,428,SEONI,KEOLARI,-,-,Godavari,Godavari,Pranhita,Wainganga,-,Wainganga,22.32472222,79.46805556,23-07-2021 08:00,50,"",300,700
