SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Akhuapada,CWC,21,Odisha,348,BHADRAK,BHADRAK,-,-,Baitarani,Brahmani and Baitarni,-,-,-,Baitarani,20.91694444,86.27972222,01-04-2021 09:52,0.74,"","",""
2,Akhuapada,CWC,21,Odisha,348,BHADRAK,BHADRAK,-,-,Baitarani,Brahmani and Baitarni,-,-,-,Baitarani,20.91694444,86.27972222,01-05-2021 08:39,0.4,"","",""
3,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-04-2021 09:28,0.91,"","",""
4,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-05-2021 08:12,1.54,"","",""
5,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-06-2021 08:30,1.15,"","",""
6,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-06-2021 08:14,1.12,"","",""
7,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-07-2021 09:58,0.61,"","",""
8,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,13-07-2021 08:46,0.59,"","",""
9,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,22-07-2021 08:02,0.53,"","",""
10,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,02-08-2021 09:06,1.97,"","",""
11,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-08-2021 09:17,1.9,"","",""
12,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-08-2021 08:27,1.29,"","",""
13,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-09-2021 11:01,0.19,"","",""
14,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-09-2021 09:09,1.32,"","",""
15,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-09-2021 09:50,1.25,"","",""
16,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-10-2021 09:06,0.98,"","",""
17,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-10-2021 10:00,0.97,"","",""
18,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-10-2021 08:37,1.22,"","",""
19,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-11-2021 09:20,0.6,"","",""
20,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-11-2021 08:12,0.79,"","",""
21,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-11-2021 08:54,0.8,"","",""
22,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-12-2021 09:19,1.98,"","",""
23,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-12-2021 09:06,1.65,"","",""
24,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-12-2021 08:04,2.09,"","",""
25,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-01-2022 08:47,1.48,"","",""
26,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-01-2022 08:27,1.26,"","",""
27,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-01-2022 09:33,2.21,"","",""
28,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-02-2022 08:30,2.3,"","",""
29,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-02-2022 08:14,1.69,"","",""
30,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-02-2022 08:10,0.94,"","",""
31,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-03-2022 09:48,2.02,"","",""
32,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-03-2022 08:07,2.01,"","",""
33,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-03-2022 08:44,1.05,"","",""
34,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-04-2022 08:00,2.08,"","",""
35,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-04-2022 08:12,2.39,"","",""
36,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-04-2022 08:17,2.55,"","",""
37,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,02-05-2022 08:19,3.62,"","",""
38,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-05-2022 08:40,1.54,"","",""
39,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-05-2022 08:00,1.48,"","",""
40,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,01-06-2022 08:55,1.92,"","",""
41,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,11-06-2022 08:09,1.17,"","",""
42,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-06-2022 08:19,0.26,"","",""
43,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,02-07-2022 09:01,0.57,"","",""
44,Altuma,CWC,21,Odisha,352,DHENKANAL,Dhenkanal,-,-,Brahmani,Brahmani and Baitarni,Ramyala,-,-,Ramyala,20.93083333,85.51916667,21-07-2022 08:35,0.78,"","",""
