SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,22-06-2021 08:00,0.8,"","",""
2,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,02-07-2021 08:00,0.79,"","",""
3,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,12-07-2021 08:00,1.17,"","",""
4,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,21-07-2021 08:00,1.68,"","",""
5,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,01-08-2021 08:00,2.2,"","",""
6,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,11-08-2021 08:00,1.2,"","",""
7,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,22-08-2021 08:00,0.2,"","",""
8,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,20-09-2021 08:00,0.4,"","",""
9,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,01-10-2021 08:00,1.1,"","",""
10,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,11-10-2021 08:00,0.4,"","",""
11,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,20-10-2021 08:00,0.3,"","",""
12,Bakcha ,CWC,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,Teesta,Dikchu,Bakcha Chu,Bakcha Chu,27.41777778,88.63027778,01-11-2021 08:00,1.3,"","",""
13,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,22-06-2021 08:00,0.7,"","",""
14,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,02-07-2021 08:00,0.1,"","",""
15,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,21-07-2021 08:00,0.17,"","",""
16,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,01-08-2021 08:00,0.1,"","",""
17,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,11-08-2021 08:00,1.2,"","",""
18,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,01-09-2021 08:00,0.6,"","",""
19,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,21-09-2021 08:00,0.9,"","",""
20,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,01-10-2021 08:00,0.7,"","",""
21,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,11-10-2021 08:00,0.8,"","",""
22,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,20-10-2021 08:00,0.5,"","",""
23,Bop,CWC,11,Sikkim,226,MANGAN,-,-,-,Brahmaputra,Brahmaputra,Teesta,Lachung Chu,-,Lachung Chu,27.61166667,88.65833333,01-11-2021 08:00,0.7,"","",""
24,Chujachen (Rongli Chu),CWC,11,Sikkim,741,PAKYONG,-,-,-,Brahmaputra,Brahmaputra,Teesta,-,Rongli Chu,Rongli Chu,27.20722222,88.71888889,01-10-2021 08:00,0.6,"","",""
25,KHANITAR,CWC,11,Sikkim,225,GANGTOK DISTRICT,GANGTOK,-,-,Brahmaputra,Brahmaputra,Teesta,-,-,Teesta,27.17777778,88.51333333,22-06-2021 09:38,1.1,"","",""
26,KHANITAR,CWC,11,Sikkim,225,GANGTOK DISTRICT,GANGTOK,-,-,Brahmaputra,Brahmaputra,Teesta,-,-,Teesta,27.17777778,88.51333333,02-07-2021 09:40,0.99,"","",""
27,KHANITAR,CWC,11,Sikkim,225,GANGTOK DISTRICT,GANGTOK,-,-,Brahmaputra,Brahmaputra,Teesta,-,-,Teesta,27.17777778,88.51333333,23-07-2021 09:40,0.52,"","",""
