SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Amarpur,CWC,16,Tripura,654,Gomati,Amarpur,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.52833333,91.65277778,01-12-2023 06:00,1.7,"","",""
2,Amarpur,CWC,16,Tripura,654,Gomati,Amarpur,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.52833333,91.65277778,01-03-2024 06:00,0.9,"","",""
3,Kadamtala,CWC,16,Tripura,270,NORTH TRIPURA,Kadamtala,-,-,Meghna,Barak and Others,Juri,-,-,Juri,24.50305556,92.21750000,01-12-2023 08:08,1.8,"","",""
4,Kadamtala,CWC,16,Tripura,270,NORTH TRIPURA,Kadamtala,-,-,Meghna,Barak and Others,Juri,-,-,Juri,24.50305556,92.21750000,01-03-2024 06:17,0.8,"","",""
5,Kadamtala,CWC,16,Tripura,270,NORTH TRIPURA,Kadamtala,-,-,Meghna,Barak and Others,Juri,-,-,Juri,24.50305556,92.21750000,01-03-2024 08:00,0.8,"","",""
6,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.31750000,91.99388889,01-02-2021 07:00,9.6,"","",""
7,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.31750000,91.99388889,01-12-2023 08:08,1.3,"","",""
8,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.31750000,91.99388889,01-03-2024 06:00,0.6,"","",""
9,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.31750000,91.99388889,01-03-2024 08:00,0.6,"","",""
10,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,01-12-2023 08:08,1.6,"","",""
11,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,01-03-2024 06:09,1.3,"","",""
12,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,01-03-2024 08:00,1.3,"","",""
13,Sonamura,CWC,16,Tripura,653,Sepahijala,Boxanagar,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.47222222,91.26277778,01-12-2023 06:00,1.7,"","",""
14,Sonamura,CWC,16,Tripura,653,Sepahijala,Boxanagar,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.47222222,91.26277778,01-03-2024 06:00,0.2,"","",""
