SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,23-06-2021 09:29,1.3,"","",""
2,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,12-07-2021 09:40,0.09,"","",""
3,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,23-07-2021 09:40,2.03,"","",""
4,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,04-10-2021 09:32,1,"","",""
5,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,11-10-2021 09:48,0.2,"","",""
6,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,21-10-2021 09:49,0.5,"","",""
7,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,01-11-2021 09:43,0.6,"","",""
8,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,01-02-2022 09:30,1.2,"","",""
9,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,10-02-2022 08:41,0.8,"","",""
10,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,01-03-2022 21:57,0.7,"","",""
11,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,10-03-2022 09:39,0.4,"","",""
12,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,21-03-2022 10:00,0.4,"","",""
13,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,01-04-2022 08:00,0.5,"","",""
14,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,21-04-2022 08:00,0.6,"","",""
15,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,11-05-2022 08:00,0.9,"","",""
