SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,03-10-2006 09:30,1.7,"",300,600
2,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,01-12-2006 09:30,0.8,"",24000,2400
3,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,02-01-2007 10:00,0.2,"",2300,16000
4,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,01-02-2007 09:00,0.8,"",300,800
5,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,01-03-2007 09:30,0.6,"",500,800
6,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,02-04-2007 09:00,0.9,"",800,800
7,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,03-05-2007 09:00,0.7,"",230,230
8,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,01-06-2007 09:00,1,"",500,1300
9,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,02-07-2007 10:50,0.2,"",16000,16000
10,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,01-08-2007 09:30,0.2,"",16000,16000
11,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,03-09-2007 09:30,0.4,"",16000,16000
12,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,03-10-2007 09:30,0.6,"",16000,16000
13,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,01-11-2007 09:00,0.2,"",3000,5000
14,Bhadrachalam,CWC,36,Telangana,690,BHADRADRI,BHADRADRI,Bhadrachalam,Bhadrachalam,Godavari,Godavari,-,-,-,Godavari,17.66944444,80.87388889,03-12-2007 09:30,0.4,"",16000,16000
