SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,01-05-2019 09:25,2.1,"","",""
2,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,13-05-2019 09:45,1.9,"","",""
3,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,21-05-2019 09:15,1.9,"","",""
4,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,01-06-2019 09:25,1.9,"","",""
5,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,11-06-2019 09:11,1.6,"","",""
6,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,21-06-2019 09:00,1.3,"","",""
7,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,11-07-2019 10:00,0.9,"","",""
8,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,22-07-2019 09:50,1.3,"","",""
9,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,01-08-2019 09:00,1,"","",""
10,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,21-08-2019 09:50,0.7,"","",""
11,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,02-09-2019 09:05,"","","",""
12,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,11-09-2019 09:30,"","","",""
13,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,21-09-2019 09:20,"","","",""
14,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,01-10-2019 09:16,"","","",""
15,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,11-10-2019 10:05,"","","",""
16,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,21-10-2019 09:25,"","","",""
17,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,01-11-2019 10:00,"","","",""
18,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,11-11-2019 10:00,"","","",""
19,Alipurduar,CWC,19,West Bengal,664,ALIPURDUAR,ALIPURDUAR I,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.49333333,89.52833333,21-11-2019 10:00,"","","",""
20,Ambari,CWC,19,West Bengal,308,COOCH BEHAR,COOCH BEHAR II,-,-,Brahmaputra,Brahmaputra,Torsa,-,-,Torsa,26.41638889,89.54166667,01-05-2019 09:30,1.9,"","",""
