SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,GHAGGAR AT D/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.75954600,76.73599100,07-01-2021 08:30,"","","","","",""
2,GHAGGAR AT D/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.75954600,76.73599100,03-02-2021 08:30,"","","","","",""
3,GHAGGAR AT D/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.75954600,76.73599100,04-03-2021 08:30,"","","","","",""
4,GHAGGAR AT U/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.76480200,76.72460000,07-01-2021 08:30,"","","","","",""
5,GHAGGAR AT U/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.76480200,76.72460000,03-02-2021 08:30,"","","","","",""
6,GHAGGAR AT U/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.76480200,76.72460000,04-03-2021 08:30,"","","","","",""
7,GROUND WATER FROM DADU MAJRA CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.75385000,76.74086700,20-04-2021 08:30,804,Clear,"","","",""
8,GROUND WATER FROM DADU MAJRA CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.75385000,76.74086700,05-10-2021 08:30,714,Clear,"","","",""
9,GROUND WATER FROM DHANAS VILLAGE CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.77601900,76.74926000,20-04-2021 08:30,566,Clear,"",11,"",""
10,GROUND WATER FROM DHANAS VILLAGE CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.77601900,76.74926000,05-10-2021 08:30,1042,Clear,"",5.7,"",""
