SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BAHELA AT BADLI VILLAGE,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.73134400,77.14818800,01-02-2021 08:30,"","","","","",""
2,BHALSWA LAKE DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.74166900,77.17199700,17-06-2021 08:30,6560,"","","","",""
3,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,05-01-2021 08:30,1120,"","","","",""
4,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,03-02-2021 08:30,1310,"","","","",""
5,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,08-03-2021 08:30,1320,"","","","",""
6,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,08-04-2021 08:30,1720,"","","","",""
7,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,04-05-2021 08:30,1470,"","","","",""
8,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,07-06-2021 08:30,1430,"","","","",""
9,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,06-07-2021 08:30,940,"","","","",""
10,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,17-08-2021 08:30,1260,"","","","",""
11,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,07-09-2021 08:30,1030,"","","","",""
12,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,12-10-2021 08:30,930,"","","","",""
13,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.50662400,77.31430500,11-12-2021 08:30,1240,"","","","",""
14,LAKE NEAR IIT FLYOVER DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.51595000,77.17144200,23-06-2021 08:30,940,"","","","",""
15,SANJAY LAKE DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.61519400,77.29286700,23-06-2021 08:30,1194,"","","","",""
16,WELL AT ALIPUR DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.79707500,77.13311700,26-11-2021 08:30,"",Clear,"","","",""
17,WELL AT AURBINDO MARG DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.55633900,77.20649400,30-11-2021 08:30,"",Clear,"","","",""
18,WELL AT BAWANA DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.80533100,77.04624700,26-11-2021 08:30,"",Clear,"","","",""
19,WELL AT BURARI DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.75500000,77.19900000,26-11-2021 08:30,"",Clear,"","","",""
20,WELL AT DEFENCE COLONY DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.57248600,77.23291900,12-12-2021 08:30,"",Clear,"","","",""
21,WELL AT DILSHAD GARDEN DELHI,CPCB,7,Delhi,81,NORTH EAST,SEELAM PUR,-,-,-,-,-,-,-,-,28.68465400,77.31497600,23-11-2021 08:30,"",Clear,"","","",""
22,WELL AT DWARKA DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.57366900,77.05589900,20-12-2021 08:30,"",Clear,"","","",""
23,WELL AT FATEH PUR BERI DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.45758900,77.17871900,30-11-2021 08:30,"",Clear,"","","",""
24,WELL AT GAJIPUR DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.62995300,77.32025800,23-11-2021 08:30,"",Clear,"","","",""
25,WELL AT GANDHI NAGAR DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.66630900,77.27387900,23-11-2021 08:30,"",Clear,"","","",""
26,WELL AT HAIDERPUR DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.72249400,77.14469700,29-11-2021 08:30,"",Clear,"","","",""
27,WELL AT ISBT DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.66872800,77.23042200,26-11-2021 08:30,"",Clear,"","","",""
28,WELL AT KALKA JI DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.54985000,77.26078600,17-12-2021 08:30,"",Clear,"","","",""
29,WELL AT KAMLA NAGAR DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.68054400,77.20362800,29-11-2021 08:30,"",Clear,"","","",""
30,WELL AT KAROL BAGH DELHI,CPCB,7,Delhi,77,CENTRAL,KAROL BAGH,-,-,-,-,-,-,-,-,28.65300800,77.19235300,25-11-2021 08:30,"",Clear,"","","",""
31,WELL AT MATIALA DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.61148600,77.04910300,20-12-2021 08:30,"",Clear,"","","",""
32,WELL AT MAYA PURI DELHI,CPCB,7,Delhi,85,WEST,RAJOURI GARDEN,-,-,-,-,-,-,-,-,28.62721900,77.12405000,25-11-2021 08:30,"",Clear,"","","",""
33,WELL AT MAYUR VIHAR DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.61462500,77.31215800,23-11-2021 08:30,"",Clear,"","","",""
34,WELL AT NAJAFGARH DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.60597800,76.99120600,20-12-2021 08:30,"",Clear,"","","",""
35,WELL AT NARAINA INDL AREA DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.63214200,77.13885300,25-11-2021 08:30,"",Clear,"","","",""
36,WELL AT OKHLA DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.56740600,77.29207800,17-12-2021 08:30,"",Clear,"","","",""
37,WELL AT PARIVESH BHAWAN DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.65571400,77.29512200,13-04-2021 08:30,2562,Clear,"","","",""
38,WELL AT PARIVESH BHAWAN DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.65571400,77.29512200,22-11-2021 08:30,2312,Clear,"","","",""
39,WELL AT PASCHIM VIHAR DELHI,CPCB,7,Delhi,85,WEST,PUNJABI BAGH,-,-,-,-,-,-,-,-,28.66569400,77.09393100,25-11-2021 08:30,"",Clear,"","","",""
40,WELL AT PATEL NAGAR DELHI,CPCB,7,Delhi,85,WEST,PATEL NAGAR,-,-,-,-,-,-,-,-,28.65051100,77.16918100,25-11-2021 08:30,"",Clear,"","","",""
41,WELL AT PATPAR GANJ DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.61225000,77.28568900,23-11-2021 08:30,"",Clear,"","","",""
42,WELL AT PATPARGANJ INDL AREA DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.63943900,77.31096100,23-11-2021 08:30,"",Clear,"","","",""
43,WELL AT PEERAGARHI DELHI,CPCB,7,Delhi,85,WEST,PUNJABI BAGH,-,-,-,-,-,-,-,-,28.67967500,77.09271100,25-11-2021 08:30,"",Clear,"","","",""
44,WELL AT PILANJI DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.57918100,77.20135300,30-11-2021 08:30,"",Clear,"","","",""
45,WELL AT PRIYA ENCLAVE DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.65299700,77.29905600,23-11-2021 08:30,"",Clear,"","","",""
46,WELL AT QUTAB GARH DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.57176900,77.16505300,17-12-2021 08:30,"",Clear,"","","",""
47,WELL AT RAJENDER NAGAR DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.63986400,77.18009200,25-11-2021 08:30,"",Clear,"","","",""
48,WELL AT RAJPURA ROAD DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.67744200,77.21770800,29-11-2021 08:30,"",Clear,"","","",""
49,WELL AT RASHTRAPATI BHAWAN DELHI,CPCB,7,Delhi,77,CENTRAL,CIVIL LINES,-,-,-,-,-,-,-,-,28.61436100,77.19962200,25-11-2021 08:30,"",Clear,"","","",""
50,WELL AT ROHINI DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.73606900,77.09112800,26-11-2021 08:30,"",Clear,"","","",""
51,WELL AT SAKET DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.52459400,77.20667800,30-11-2021 08:30,"",Clear,"","","",""
52,WELL AT SHAHDARA DELHI,CPCB,7,Delhi,81,NORTH EAST,SEELAM PUR,-,-,-,-,-,-,-,-,28.68161400,77.27097500,23-11-2021 08:30,"",Clear,"","","",""
53,WELL AT SINGHU BORDER DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.84371900,77.08937500,20-12-2021 08:30,"",Clear,"","","",""
54,WELL AT SINGOLA DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.84302500,77.12602000,29-11-2021 08:30,"",Clear,"","","",""
55,WELL AT SULTANPURI DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.69811400,77.07082800,17-12-2021 08:30,"",Clear,"","","",""
56,WELL AT TIKRI KALAN  DELHI,CPCB,7,Delhi,85,WEST,PUNJABI BAGH,-,-,-,-,-,-,-,-,28.68233100,76.96718100,20-12-2021 08:30,"",Clear,"","","",""
57,WELL AT TILAK NAGAR DELHI,CPCB,7,Delhi,85,WEST,RAJOURI GARDEN,-,-,-,-,-,-,-,-,28.63873900,77.09411400,29-11-2021 08:30,"",Clear,"","","",""
58,WELL AT TRILOKPURI DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.60467800,77.30688600,23-11-2021 08:30,"",Clear,"","","",""
59,WELL AT UJWAH DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.56708900,76.91073600,17-12-2021 08:30,"",Clear,"","","",""
60,WELL AT VASANT KUNJ DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.52730300,77.15155300,30-11-2021 08:30,"",Clear,"","","",""
61,WELL AT VASANT VIHAR,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.56025800,77.15600600,30-11-2021 08:30,"",Clear,"","","",""
62,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.80576400,77.04676900,10-08-2021 08:30,228,"","","","",""
63,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.80576400,77.04676900,07-09-2021 08:30,224,"","","","",""
64,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.80576400,77.04676900,05-10-2021 08:30,238,"","","","",""
65,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.80576400,77.04676900,10-11-2021 08:30,261,"","","","",""
66,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.80576400,77.04676900,09-12-2021 08:30,284,"","","","",""
67,YAMUNA AT NIZAMUDDIN DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.59858200,77.26330800,06-01-2021 08:30,"","","","","",""
68,YAMUNA AT NIZAMUDDIN DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.59858200,77.26330800,01-02-2021 08:30,"","","","","",""
69,YAMUNA AT NIZAMUDDIN DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.59858200,77.26330800,03-03-2021 08:30,"","","","","",""
70,YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL) DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.56696700,77.29466500,06-01-2021 08:30,"","","","","",""
71,YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL) DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.56696700,77.29466500,01-02-2021 08:30,"","","","","",""
72,YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL) DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.56696700,77.29466500,03-03-2021 08:30,"","","","","",""
73,YAMUNA AT PALLA DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.85018000,77.21018400,06-01-2021 08:30,"","","","","",""
