SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AT DAMAN JETTY MOTI DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.41086100,72.83419400,29-01-2021 08:30,"","","","","",""
2,AT DAMAN JETTY MOTI DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.41086100,72.83419400,23-02-2021 08:30,"","","","","",""
3,AT DAMAN JETTY MOTI DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.41086100,72.83419400,25-03-2021 08:30,"","","","","",""
4,AT NAROLI BRIDGE SILVASSA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.27209700,72.98565600,29-01-2021 08:30,"","","","","",""
5,AT NAROLI BRIDGE SILVASSA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.27209700,72.98565600,23-02-2021 08:30,"","","","","",""
6,AT NAROLI BRIDGE SILVASSA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.27209700,72.98565600,25-03-2021 08:30,"","","","","",""
7,AT ZARI CAUSE WAY BRIDGE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.37601100,72.87703500,29-01-2021 08:30,"","","","","",""
8,AT ZARI CAUSE WAY BRIDGE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.37601100,72.87703500,23-02-2021 08:30,"","","","","",""
9,AT ZARI CAUSE WAY BRIDGE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.37601100,72.87703500,25-03-2021 08:30,"","","","","",""
10,DAMANGANGA AT KACHIGAON D\S (DAMAN),CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.37143300,72.88110800,01-01-2021 08:30,"","","","","",""
11,DAMANGANGA AT KACHIGAON D\S (DAMAN),CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.37143300,72.88110800,05-02-2021 08:30,"","","","","",""
12,DAMANGANGA AT KACHIGAON D\S (DAMAN),CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.37143300,72.88110800,04-03-2021 08:30,"","","","","",""
13,DAMANGANGA AT ZERI CAUSEWAY (UT OF DAMAN),CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.37445200,72.87907000,25-02-2021 08:30,"","","","","",""
14,GROUND WATER FROM VILLAGE BHIMPORE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.44736100,72.85745600,28-09-2021 08:30,443,Clear,"","","",""
15,WELL AT SOMNATH INDUSTRIAL ESTATE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.40725600,72.87632700,28-09-2021 08:30,835,Clear,"","","",""
16,WELL AT VILLAGE ATHAL DADRA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.27193200,72.99841100,28-09-2021 08:30,603,Clear,"","","",""
17,WELL AT VILLAGE DABHEL DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.40115000,72.89216100,28-09-2021 08:30,1324,Clear,"","","",""
18,WELL AT VILLAGE GALONDA DADRA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.29358900,73.06898600,28-09-2021 08:30,409,Clear,"","","",""
19,WELL AT VILLAGE KHANVEL DADRA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.12629200,73.06266400,28-09-2021 08:30,483,Clear,"",1.9,"",""
20,WELL AT VILLAGE RINGANWADA DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.40045800,72.87813300,28-09-2021 08:30,1990,Clear,"","","",""
