SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,04-01-2021 08:30,51,"","","","",""
2,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,01-02-2021 08:30,56,"","","","",""
3,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,01-03-2021 08:30,56,"","","","",""
4,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,05-04-2021 08:30,50,"","","","",""
5,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,03-05-2021 08:30,140,"","","","",""
6,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,01-06-2021 08:30,43,"","","","",""
7,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,02-07-2021 08:30,41,"","","","",""
8,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,02-08-2021 08:30,70,"","","","",""
9,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,01-09-2021 08:30,51,"","","","",""
10,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,01-10-2021 08:30,39,"","","","",""
11,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,01-11-2021 08:30,43,"","","","",""
12,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.61672800,74.08838100,01-12-2021 08:30,40,"","","","",""
13,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155000,73.80660700,12-01-2021 08:30,"",Clear,"","","",""
14,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155000,73.80660700,09-02-2021 08:30,"",Clear,"","","",""
15,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155000,73.80660700,09-03-2021 08:30,"",Clear,"","","",""
