SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AJAY RIVER AT MASANJORE DAM,CPCB,20,Jharkhand,326,DUMKA,DUMKA,-,-,-,-,-,-,-,-,24.11246100,87.31083600,05-01-2021 08:30,"","","","","",""
2,AJAY RIVER AT MASANJORE DAM,CPCB,20,Jharkhand,326,DUMKA,DUMKA,-,-,-,-,-,-,-,-,24.11246100,87.31083600,23-03-2021 08:30,"","","","","",""
3,BAITARNI RIVER AT CHAMPUA,CPCB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,CHAIBASA,-,-,-,-,-,-,-,-,22.06952500,85.67019900,07-01-2021 08:30,"","","","","",""
4,BAITARNI RIVER AT CHAMPUA,CPCB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,CHAIBASA,-,-,-,-,-,-,-,-,22.06952500,85.67019900,09-02-2021 08:30,"","","","","",""
5,BAITARNI RIVER AT CHAMPUA,CPCB,20,Jharkhand,343,PASHCHIMI SINGHBHUM,CHAIBASA,-,-,-,-,-,-,-,-,22.06952500,85.67019900,09-03-2021 08:30,"","","","","",""
6,BARAKAR AT ASANSOL (WATER INTAKE POINT) BURDWANWEST BENGAL,CPCB,20,Jharkhand,325,DHANBAD,NIRSA CUM CHIRKUNDA,-,-,-,-,-,-,-,-,23.72168900,86.80162800,13-01-2021 08:30,"","","","","",""
7,BARAKAR AT ASANSOL (WATER INTAKE POINT) BURDWANWEST BENGAL,CPCB,20,Jharkhand,325,DHANBAD,NIRSA CUM CHIRKUNDA,-,-,-,-,-,-,-,-,23.72168900,86.80162800,15-02-2021 08:30,"","","","","",""
8,BARAKAR AT ASANSOL (WATER INTAKE POINT) BURDWANWEST BENGAL,CPCB,20,Jharkhand,325,DHANBAD,NIRSA CUM CHIRKUNDA,-,-,-,-,-,-,-,-,23.72168900,86.80162800,04-03-2021 08:30,"","","","","",""
9,DAMODAR AT SINDRI,CPCB,20,Jharkhand,325,DHANBAD,JHARIA-JORAPOKHAR-SI,-,-,-,-,-,-,-,-,23.66805100,86.41306800,01-02-2021 08:30,"","","","","",""
10,DAMODAR RIVER NEAR ROHINI PROJECT NK AREA PO-DAKRA RANCHI,CPCB,20,Jharkhand,339,RANCHI,NA,-,-,-,-,-,-,-,-,23.68358000,85.00840200,15-01-2021 08:30,"","","","","",""
