SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14846900,74.78825900,19-06-2021 08:30,338,"","","","",""
2,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14846900,74.78825900,10-07-2021 08:30,225,"","","","",""
3,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14846900,74.78825900,12-08-2021 08:30,309,"","","","",""
4,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14846900,74.78825900,10-09-2021 08:30,348,"","","","",""
5,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14846900,74.78825900,28-10-2021 08:30,362,"","","","",""
6,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14846900,74.78825900,10-11-2021 08:30,479,"","","","",""
7,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14325500,74.79197600,19-06-2021 08:30,530,"","","","",""
8,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14325500,74.79197600,10-07-2021 08:30,300,"","","","",""
9,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14325500,74.79197600,12-08-2021 08:30,307,"","","","",""
10,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.14325500,74.79197600,10-09-2021 08:30,500,"","","","",""
