SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BARAK RIVER AT SENAPATI,CPCB,14,Manipur,257,SENAPATI,MAO-MARAM,-,-,-,-,-,-,-,-,25.31150300,94.05323200,23-02-2021 08:30,"","","","","",""
2,BARAK RIVER NEAR NONEY VILLAGE (N.H. 53) TAMENGLONG,CPCB,14,Manipur,258,TAMENGLONG,NUNGBA,-,-,-,-,-,-,-,-,24.85470600,93.61671300,22-02-2021 08:30,"","","","","",""
3,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,18-02-2021 08:30,390,"","","","",""
4,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,19-03-2021 08:30,410,"","","","",""
5,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,20-04-2021 08:30,395,"","","","",""
6,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,20-05-2021 08:30,430,"","","","",""
7,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,21-06-2021 08:30,350,"","","","",""
8,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,22-07-2021 08:30,150,"","","","",""
9,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,20-08-2021 08:30,160,"","","","",""
10,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,15-09-2021 08:30,110,"","","","",""
11,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,21-10-2021 08:30,120,"","","","",""
12,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,20-11-2021 08:30,250,"","","","",""
13,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.77426300,93.93373000,21-12-2021 08:30,280,"","","","",""
14,ETHAI BARRAGE ON MANIPUR RIVER,CPCB,14,Manipur,252,BISHNUPUR,MOIRANG,-,-,-,-,-,-,-,-,24.42296000,93.84002400,25-02-2021 08:30,"","","","","",""
15,HAND PUMP AT SAITON,CPCB,14,Manipur,252,BISHNUPUR,MOIRANG,-,-,-,-,-,-,-,-,24.41853700,93.75374300,29-04-2021 08:30,121,Clear,"","","",""
16,HAND PUMP AT TAKHEL,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.82105500,94.04705100,20-04-2021 08:30,609,Clear,"","","",""
17,HEIROK,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.58464700,94.07745800,27-04-2021 08:30,742,Clear,"","","",""
18,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.64507600,93.99960400,24-02-2021 08:30,450,"","","","",""
19,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.64507600,93.99960400,26-05-2021 08:30,220,"","","","",""
20,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.64507600,93.99960400,26-06-2021 08:30,180,"","","","",""
21,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.64507600,93.99960400,28-07-2021 08:30,80,"","","","",""
22,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.64507600,93.99960400,26-08-2021 08:30,120,"","","","",""
23,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.64507600,93.99960400,22-09-2021 08:30,130,"","","","",""
24,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.64507600,93.99960400,27-10-2021 08:30,120,"","","","",""
25,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.64507600,93.99960400,26-11-2021 08:30,240,"","","","",""
26,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.64507600,93.99960400,28-12-2021 08:30,230,"","","","",""
27,IMPHAL AT KIYAMGI,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.74168100,93.94417200,19-02-2021 08:30,"","","","","",""
28,IMPHAL AT KIYAMGI,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.74168100,93.94417200,20-03-2021 08:30,"","","","","",""
29,IMPHAL AT KOIRENGEI,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.87944700,93.92893200,19-02-2021 08:30,"","","","","",""
