SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ANGUL TOWNSHIP,CPCB,21,Odisha,344,ANUGUL,ANUGUL,-,-,-,-,-,-,-,-,20.83861100,85.09833300,12-04-2021 08:30,1178,Clear,"",3,"",""
2,ANGUL TOWNSHIP,CPCB,21,Odisha,344,ANUGUL,ANUGUL,-,-,-,-,-,-,-,-,20.83861100,85.09833300,05-10-2021 08:30,731,Clear,"","","",""
3,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,05-01-2021 08:30,184,"","","","",""
4,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,02-02-2021 08:30,130,"","","","",""
5,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,02-03-2021 08:30,180,"","","","",""
6,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,12-04-2021 08:30,157,"","","","",""
7,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,17-05-2021 08:30,179,"","","","",""
8,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,17-06-2021 08:30,163,"","","","",""
9,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,07-07-2021 08:30,165,"","","","",""
10,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,04-08-2021 08:30,136,"","","","",""
11,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,01-09-2021 08:30,159,"","","","",""
12,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,04-10-2021 08:30,111,"","","","",""
13,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,01-11-2021 08:30,113,"","","","",""
14,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45719200,85.60723500,01-12-2021 08:30,126,"","","","",""
15,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,05-01-2021 08:30,159,"","","","",""
16,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,02-02-2021 08:30,141,"","","","",""
17,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,02-03-2021 08:30,186,"","","","",""
18,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,12-04-2021 08:30,198,"","","","",""
19,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,17-05-2021 08:30,223,"","","","",""
20,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,17-06-2021 08:30,187,"","","","",""
21,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,07-07-2021 08:30,213,"","","","",""
22,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,04-08-2021 08:30,180,"","","","",""
23,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,01-09-2021 08:30,126,"","","","",""
24,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,04-10-2021 08:30,98,"","","","",""
25,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,01-11-2021 08:30,96,"","","","",""
26,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.45984400,85.60392900,01-12-2021 08:30,106,"","","","",""
27,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,05-01-2021 08:30,132,"","","","",""
28,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,02-02-2021 08:30,102,"","","","",""
29,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,02-03-2021 08:30,154,"","","","",""
30,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,12-04-2021 08:30,147,"","","","",""
31,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,17-05-2021 08:30,181,"","","","",""
32,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,17-06-2021 08:30,176,"","","","",""
33,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,07-07-2021 08:30,179,"","","","",""
34,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,04-08-2021 08:30,169,"","","","",""
35,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,01-09-2021 08:30,139,"","","","",""
36,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,04-10-2021 08:30,117,"","","","",""
37,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,01-11-2021 08:30,116,"","","","",""
38,ANSHUPA AT SUBARANAPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.44751400,85.60627000,01-12-2021 08:30,116,"","","","",""
39,ANSHUPA LAKE KADALIBARI,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.46401400,85.59899200,05-01-2021 08:30,212,"","","","",""
40,ANSHUPA LAKE KADALIBARI,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.46401400,85.59899200,02-02-2021 08:30,142,"","","","",""
41,ANSHUPA LAKE KADALIBARI,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.46401400,85.59899200,02-03-2021 08:30,241,"","","","",""
42,ANSHUPA LAKE KADALIBARI,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.46401400,85.59899200,12-04-2021 08:30,196,"","","","",""
43,ANSHUPA LAKE KADALIBARI,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.46401400,85.59899200,17-05-2021 08:30,223,"","","","",""
44,ANSHUPA LAKE KADALIBARI,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.46401400,85.59899200,17-06-2021 08:30,173,"","","","",""
45,ANSHUPA LAKE KADALIBARI,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.46401400,85.59899200,07-07-2021 08:30,259,"","","","",""
46,ANSHUPA LAKE KADALIBARI,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.46401400,85.59899200,04-08-2021 08:30,202,"","","","",""
47,ANSHUPA LAKE KADALIBARI,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.46401400,85.59899200,01-09-2021 08:30,151,"","","","",""
