SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ALWARTHIRUNAGARI ? VETERINARY DISPENSARY WEST CAR STREET NEAR OVER HEAD TANK OF BORE WELL,CPCB,33,Tamil Nadu,594,Thoothukudi,Thoothukudi,-,-,-,-,-,-,-,-,8.60559200,77.94436100,21-04-2021 08:30,348,Clear,"","","",""
2,ALWARTHIRUNAGARI ? VETERINARY DISPENSARY WEST CAR STREET NEAR OVER HEAD TANK OF BORE WELL,CPCB,33,Tamil Nadu,594,Thoothukudi,Thoothukudi,-,-,-,-,-,-,-,-,8.60559200,77.94436100,21-10-2021 08:30,135,Clear,"","","",""
3,AMRAVATI AT 1KM D/S FROM EFF.DIS. PT. AT MADHUTHUKKULAM,CPCB,33,Tamil Nadu,572,Dindigul,PALANI,-,-,-,-,-,-,-,-,10.54124400,77.36865600,11-01-2021 08:30,"","","","","",""
4,AMRAVATI AT 1KM D/S FROM EFF.DIS. PT. AT MADHUTHUKKULAM,CPCB,33,Tamil Nadu,572,Dindigul,PALANI,-,-,-,-,-,-,-,-,10.54124400,77.36865600,12-02-2021 08:30,"","","","","",""
5,AMRAVATI AT 1KM D/S FROM EFF.DIS. PT. AT MADHUTHUKKULAM,CPCB,33,Tamil Nadu,572,Dindigul,PALANI,-,-,-,-,-,-,-,-,10.54124400,77.36865600,23-03-2021 08:30,"","","","","",""
6,ARIYAPPAMPALAYAM SATHYAMANGALAM,CPCB,33,Tamil Nadu,573,Erode,SATHYAMANGALAM,-,-,-,-,-,-,-,-,11.48879300,77.24124800,19-04-2021 08:30,200,Clear,"",2,"",""
7,AUTHOR ? MUKKANI AGRAGARAM STREET INFRONT OF THIRU N. SAMUTHRAPANDI HOUSE BORE WELL,CPCB,33,Tamil Nadu,594,Thoothukudi,Thoothukudi,-,-,-,-,-,-,-,-,8.63490800,78.07465000,21-04-2021 08:30,749,Clear,"","","",""
8,AUTHOR ? MUKKANI AGRAGARAM STREET INFRONT OF THIRU N. SAMUTHRAPANDI HOUSE BORE WELL,CPCB,33,Tamil Nadu,594,Thoothukudi,Thoothukudi,-,-,-,-,-,-,-,-,8.63490800,78.07465000,21-10-2021 08:30,1040,Clear,"","","",""
9,BAHOUR LAKE,CPCB,33,Tamil Nadu,570,Cuddalore,CUDDALORE,-,-,-,-,-,-,-,-,11.81944200,79.72920800,27-01-2021 08:30,249,"","","","",""
10,BAHOUR LAKE,CPCB,33,Tamil Nadu,570,Cuddalore,CUDDALORE,-,-,-,-,-,-,-,-,11.81944200,79.72920800,12-04-2021 08:30,198,"","","","",""
