SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,A.D.NAGAR AGARTALA TRIPURA,CPCB,16,Tripura,272,WEST TRIPURA,JIRANIA,-,-,-,-,-,-,-,-,23.77866400,91.38611900,15-04-2021 08:30,121,Clear,"","","",""
2,A.D.NAGAR AGARTALA TRIPURA,CPCB,16,Tripura,272,WEST TRIPURA,JIRANIA,-,-,-,-,-,-,-,-,23.77866400,91.38611900,04-10-2021 08:30,108,Clear,"","","",""
3,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,19-01-2021 08:30,164,"","","","",""
4,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,17-02-2021 08:30,157,"","","","",""
5,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,17-03-2021 08:30,171,"","","","",""
6,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,15-04-2021 08:30,183,"","","","",""
7,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,11-05-2021 08:30,192,"","","","",""
8,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,08-06-2021 08:30,200,"","","","",""
9,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,13-07-2021 08:30,215,"","","","",""
10,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,11-08-2021 08:30,228,"","","","",""
11,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,07-09-2021 08:30,208,"","","","",""
12,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,04-10-2021 08:30,198,"","","","",""
13,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,15-11-2021 08:30,178,"","","","",""
14,BRAMAKUNDA POND WEST TRIPURA,CPCB,16,Tripura,271,SOUTH TRIPURA,Rupaichari,-,-,-,-,-,-,-,-,23.09540100,91.67866400,03-12-2021 08:30,159,"","","","",""
15,BURIGAON RIVER AT BISHALGARH WEST TRIPURA,CPCB,16,Tripura,272,WEST TRIPURA,BISHALGARH,-,-,-,-,-,-,-,-,23.67399900,91.28263700,21-01-2021 08:30,"","","","","",""
16,BURIGAON RIVER AT BISHALGARH WEST TRIPURA,CPCB,16,Tripura,272,WEST TRIPURA,BISHALGARH,-,-,-,-,-,-,-,-,23.67399900,91.28263700,19-02-2021 08:30,"","","","","",""
17,BURIGAON RIVER AT BISHALGARH WEST TRIPURA,CPCB,16,Tripura,272,WEST TRIPURA,BISHALGARH,-,-,-,-,-,-,-,-,23.67399900,91.28263700,17-03-2021 08:30,"","","","","",""
18,CHANDRAPUR CANAL,CPCB,16,Tripura,270,NORTH TRIPURA,PANISAGAR,-,-,-,-,-,-,-,-,24.39254100,92.15799500,20-01-2021 08:30,148,"","","","",""
19,CHANDRAPUR CANAL,CPCB,16,Tripura,270,NORTH TRIPURA,PANISAGAR,-,-,-,-,-,-,-,-,24.39254100,92.15799500,18-02-2021 08:30,132,"","","","",""
