SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ALI SAGAR RESERVIOR PROJECT AREA ALISAGAR (V) YEDAPALLY (M) NIZAMABAD DIST.,CPCB,36,Telangana,516,NIZAMABAD,YEDPALLE,-,-,-,-,-,-,-,-,18.68857600,78.01766900,04-01-2021 08:30,"","","","","",""
2,ALI SAGAR RESERVIOR PROJECT AREA ALISAGAR (V) YEDAPALLY (M) NIZAMABAD DIST.,CPCB,36,Telangana,516,NIZAMABAD,YEDPALLE,-,-,-,-,-,-,-,-,18.68857600,78.01766900,02-02-2021 08:30,"","","","","",""
3,ALI SAGAR RESERVIOR PROJECT AREA ALISAGAR (V) YEDAPALLY (M) NIZAMABAD DIST.,CPCB,36,Telangana,516,NIZAMABAD,YEDPALLE,-,-,-,-,-,-,-,-,18.68857600,78.01766900,02-03-2021 08:30,"","","","","",""
4,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,02-01-2021 08:30,998,"","","","",""
5,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,04-02-2021 08:30,1150,"","","","",""
6,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,08-03-2021 08:30,1297,"","","","",""
7,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,01-04-2021 08:30,1347,"","","","",""
8,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,06-05-2021 08:30,1459,"","","","",""
9,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,05-06-2021 08:30,1314,"","","","",""
10,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,02-07-2021 08:30,1297,"","","","",""
11,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,03-09-2021 08:30,1261,"","","","",""
12,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,01-10-2021 08:30,1227,"","","","",""
13,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,03-11-2021 08:30,1195,"","","","",""
14,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554000,78.33469200,03-12-2021 08:30,1236,"","","","",""
15,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,12-01-2021 08:30,12310,"","","","",""
16,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,09-02-2021 08:30,12840,"","","","",""
17,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,05-03-2021 08:30,12210,"","","","",""
18,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,09-04-2021 08:30,13500,"","","","",""
19,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,07-05-2021 08:30,14800,"","","","",""
20,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,17-06-2021 08:30,15300,"","","","",""
21,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,12-07-2021 08:30,8870,"","","","",""
22,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,06-09-2021 08:30,4985,"","","","",""
23,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,08-10-2021 08:30,4930,"","","","",""
24,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,03-11-2021 08:30,4750,"","","","",""
25,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.55199200,78.34679400,10-12-2021 08:30,4820,"","","","",""
26,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.30311290,78.19176340,28-01-2021 08:30,814,"","","","",""
27,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.30311290,78.19176340,10-02-2021 08:30,870,"","","","",""
28,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.30311290,78.19176340,16-03-2021 08:30,985,"","","","",""
29,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.30311290,78.19176340,15-04-2021 08:30,1451,"","","","",""
30,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.30311290,78.19176340,04-09-2021 08:30,860,"","","","",""
31,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.30311290,78.19176340,12-10-2021 08:30,659,"","","","",""
32,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.30311290,78.19176340,08-11-2021 08:30,781,"","","","",""
33,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.30311290,78.19176340,06-12-2021 08:30,908,"","","","",""
34,"BANDAM KUNTA, GAJULARAMARAM (V), QUTHBULLAPUR (M), MEDCHAL MALKAJGIRI (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.31510000,78.25170000,29-01-2021 08:30,732,"","","","",""
35,"BANDAM KUNTA, GAJULARAMARAM (V), QUTHBULLAPUR (M), MEDCHAL MALKAJGIRI (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.31510000,78.25170000,05-02-2021 08:30,753,"","","","",""
36,"BANDAM KUNTA, GAJULARAMARAM (V), QUTHBULLAPUR (M), MEDCHAL MALKAJGIRI (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.31510000,78.25170000,02-03-2021 08:30,808,"","","","",""
37,"BANDAM KUNTA, GAJULARAMARAM (V), QUTHBULLAPUR (M), MEDCHAL MALKAJGIRI (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.31510000,78.25170000,08-09-2021 08:30,816,"","","","",""
38,"BANDAM KUNTA, GAJULARAMARAM (V), QUTHBULLAPUR (M), MEDCHAL MALKAJGIRI (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.31510000,78.25170000,07-10-2021 08:30,846,"","","","",""
39,"BANDAM KUNTA, GAJULARAMARAM (V), QUTHBULLAPUR (M), MEDCHAL MALKAJGIRI (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.31510000,78.25170000,10-11-2021 08:30,869,"","","","",""
40,"BANDAM KUNTA, GAJULARAMARAM (V), QUTHBULLAPUR (M), MEDCHAL MALKAJGIRI (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.31510000,78.25170000,04-12-2021 08:30,877,"","","","",""
41,"BANDLAGUDA CHERUVU, NAGOLE (V), UPPAL (M), MEDCHAL (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.22331300,78.33556380,28-01-2021 08:30,1492,"","","","",""
42,"BANDLAGUDA CHERUVU, NAGOLE (V), UPPAL (M), MEDCHAL (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.22331300,78.33556380,08-02-2021 08:30,1492,"","","","",""
43,"BANDLAGUDA CHERUVU, NAGOLE (V), UPPAL (M), MEDCHAL (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.22331300,78.33556380,06-03-2021 08:30,1387,"","","","",""
44,"BANDLAGUDA CHERUVU, NAGOLE (V), UPPAL (M), MEDCHAL (D)",CPCB,36,Telangana,700,MEDCHAL,-,-,-,-,-,-,-,-,-,17.22331300,78.33556380,06-04-2021 08:30,1519,"","","","",""
