SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AMTOLA ON DIAMOND HARBOUR ROAD 24 PARGANAS (S),CPCB,19,West Bengal,304,SOUTH 24 PARGANAS,SAGAR,-,-,-,-,-,-,-,-,22.36902500,88.27183600,08-04-2021 08:30,7356,Clear,"",24,"",""
2,AMTOLA ON DIAMOND HARBOUR ROAD 24 PARGANAS (S),CPCB,19,West Bengal,304,SOUTH 24 PARGANAS,SAGAR,-,-,-,-,-,-,-,-,22.36902500,88.27183600,04-10-2021 08:30,1050,Clear,"",3.72,"",""
3,BARRAKPORE MUNICIPALITY,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.69570300,88.42087500,01-04-2021 08:30,470,Clear,"",1.45,"",""
4,BARRAKPORE MUNICIPALITY,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.69570300,88.42087500,01-10-2021 08:30,381,Clear,"",1.12,"",""
5,BARSAT MUNICIPALITY NORTH 24-P WEST BENGAL,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.76460600,88.37495300,16-04-2021 08:30,408,Clear,"",2.02,"",""
6,BARSAT MUNICIPALITY NORTH 24-P WEST BENGAL,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.76460600,88.37495300,22-10-2021 08:30,856,Clear,"",3.42,"",""
7,BEHALA CALCUTTA WEST BENGAL,CPCB,19,West Bengal,304,SOUTH 24 PARGANAS,SAGAR,-,-,-,-,-,-,-,-,22.49780600,88.30936100,08-04-2021 08:30,916,Clear,"",13,"",""
8,BEHALA CALCUTTA WEST BENGAL,CPCB,19,West Bengal,304,SOUTH 24 PARGANAS,SAGAR,-,-,-,-,-,-,-,-,22.49780600,88.30936100,04-10-2021 08:30,1769,Clear,"",27.5,"",""
9,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,15-01-2021 08:30,179,"","","","",""
10,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,05-02-2021 08:30,184,"","","","",""
11,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,08-03-2021 08:30,190,"","","","",""
12,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,06-04-2021 08:30,195,"","","","",""
13,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,21-06-2021 08:30,187,"","","","",""
14,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,19-07-2021 08:30,169,"","","","",""
15,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,10-08-2021 08:30,153,"","","","",""
16,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,16-09-2021 08:30,148,"","","","",""
17,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,01-10-2021 08:30,141,"","","","",""
18,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,29-11-2021 08:30,146,"","","","",""
19,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.45123300,87.19511100,13-12-2021 08:30,143,"","","","",""
20,BOLPUR NEAR RAILWAY STATION,CPCB,19,West Bengal,307,BIRBHUM,BOLPUR-SRINIKETAN,-,-,-,-,-,-,-,-,23.66875600,87.68306400,12-04-2021 08:30,244,Clear,"",3.57,"",""
21,BOLPUR NEAR RAILWAY STATION,CPCB,19,West Bengal,307,BIRBHUM,BOLPUR-SRINIKETAN,-,-,-,-,-,-,-,-,23.66875600,87.68306400,27-10-2021 08:30,614,Clear,"",20.4,"",""
22,BSIRHAT MUNICIPALITY,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.66276700,88.87131400,16-04-2021 08:30,1881,Clear,"",2.05,"",""
23,BSIRHAT MUNICIPALITY,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.66276700,88.87131400,22-10-2021 08:30,1580,Clear,"",2.56,"",""
24,CENTRAL HOWRAH-RESIDENTAIL AREA,CPCB,19,West Bengal,313,HOWRAH,ULUBERIYA-I,-,-,-,-,-,-,-,-,22.59455800,88.25695000,12-04-2021 08:30,1958,Clear,"",2,"",""
25,CENTRAL HOWRAH-RESIDENTAIL AREA,CPCB,19,West Bengal,313,HOWRAH,ULUBERIYA-I,-,-,-,-,-,-,-,-,22.59455800,88.25695000,26-10-2021 08:30,3009,Clear,"",91.2,"",""
26,CENTRAL KOLKATA,CPCB,19,West Bengal,9999,KOLKATA,kolkata,-,-,-,-,-,-,-,-,22.56972800,88.36055600,06-04-2021 08:30,482,Clear,"",15,"",""
27,CENTRAL KOLKATA,CPCB,19,West Bengal,9999,KOLKATA,kolkata,-,-,-,-,-,-,-,-,22.56972800,88.36055600,05-10-2021 08:30,627,Clear,"",15,"",""
28,CHURNI AT BIJOYPUR (WEST BENGAL),CPCB,19,West Bengal,320,NADIA,HANSKHALI,-,-,-,-,-,-,-,-,23.32427600,88.58425900,02-02-2021 08:30,"","","","","",""
29,CHURNI D/S OF RANAGHAT TOWN WEST BENGAL,CPCB,19,West Bengal,320,NADIA,Ranaghat-I,-,-,-,-,-,-,-,-,23.17796600,88.55816400,06-01-2021 08:30,"","","","","",""
30,CHURNI D/S OF RANAGHAT TOWN WEST BENGAL,CPCB,19,West Bengal,320,NADIA,Ranaghat-I,-,-,-,-,-,-,-,-,23.17796600,88.55816400,18-02-2021 08:30,"","","","","",""
31,CHURNI D/S OF RANAGHAT TOWN WEST BENGAL,CPCB,19,West Bengal,320,NADIA,Ranaghat-I,-,-,-,-,-,-,-,-,23.17796600,88.55816400,19-03-2021 08:30,"","","","","",""
32,CHURNI MAJHADIA NADIA,CPCB,19,West Bengal,320,NADIA,Ranaghat-I,-,-,-,-,-,-,-,-,23.19764400,88.57301400,20-01-2021 08:30,"","","","","",""
33,CHURNI MAJHADIA NADIA,CPCB,19,West Bengal,320,NADIA,Ranaghat-I,-,-,-,-,-,-,-,-,23.19764400,88.57301400,18-02-2021 08:30,"","","","","",""
34,CHURNI MAJHADIA NADIA,CPCB,19,West Bengal,320,NADIA,Ranaghat-I,-,-,-,-,-,-,-,-,23.19764400,88.57301400,19-03-2021 08:30,"","","","","",""
35,COSSIPORE - NORTH KOLKATA,CPCB,19,West Bengal,9999,KOLKATA,kolkata,-,-,-,-,-,-,-,-,22.61611400,88.37128100,05-04-2021 08:30,2298,Clear,"",4,"",""
36,COSSIPORE - NORTH KOLKATA,CPCB,19,West Bengal,9999,KOLKATA,kolkata,-,-,-,-,-,-,-,-,22.61611400,88.37128100,01-10-2021 08:30,2859,Clear,"",14.7,"",""
37,DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WEST BENGAL BORDER)  BURDWANWEST BENGAL,CPCB,19,West Bengal,704,BARDDHAMAN,BARDDHAMAN,-,-,-,-,-,-,-,-,23.68503100,86.82347200,13-01-2021 08:30,"","","","","",""
38,DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WEST BENGAL BORDER)  BURDWANWEST BENGAL,CPCB,19,West Bengal,704,BARDDHAMAN,BARDDHAMAN,-,-,-,-,-,-,-,-,23.68503100,86.82347200,15-02-2021 08:30,"","","","","",""
39,DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WEST BENGAL BORDER)  BURDWANWEST BENGAL,CPCB,19,West Bengal,704,BARDDHAMAN,BARDDHAMAN,-,-,-,-,-,-,-,-,23.68503100,86.82347200,04-03-2021 08:30,"","","","","",""
40,DAMODAR AT DISHERGARH (WEST BENGAL),CPCB,19,West Bengal,704,BARDDHAMAN,BARDDHAMAN,-,-,-,-,-,-,-,-,23.68533400,86.82322400,02-02-2021 08:30,"","","","","",""
41,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE BURDWANWEST BENGAL,CPCB,19,West Bengal,704,BARDDHAMAN,BARDDHAMAN,-,-,-,-,-,-,-,-,23.64696100,86.89706800,13-01-2021 08:30,"","","","","",""
42,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE BURDWANWEST BENGAL,CPCB,19,West Bengal,704,BARDDHAMAN,BARDDHAMAN,-,-,-,-,-,-,-,-,23.64696100,86.89706800,15-02-2021 08:30,"","","","","",""
43,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE BURDWANWEST BENGAL,CPCB,19,West Bengal,704,BARDDHAMAN,BARDDHAMAN,-,-,-,-,-,-,-,-,23.64696100,86.89706800,04-03-2021 08:30,"","","","","",""
44,DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH BURDWANWEST BENGAL,CPCB,19,West Bengal,305,BANKURA,MEJIA,-,-,-,-,-,-,-,-,23.58439900,87.10349500,19-01-2021 08:30,"","","","","",""
45,DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH BURDWANWEST BENGAL,CPCB,19,West Bengal,305,BANKURA,MEJIA,-,-,-,-,-,-,-,-,23.58439900,87.10349500,04-02-2021 08:30,"","","","","",""
46,DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH BURDWANWEST BENGAL,CPCB,19,West Bengal,305,BANKURA,MEJIA,-,-,-,-,-,-,-,-,23.58439900,87.10349500,05-03-2021 08:30,"","","","","",""
47,DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH BURDWANWEST BENGAL,CPCB,19,West Bengal,305,BANKURA,BORJORA,-,-,-,-,-,-,-,-,23.42978500,87.36499500,18-01-2021 08:30,"","","","","",""
