filename,state_code,state_name,file_size,size_bytes,rows,cols,stations,min_date,max_date,dup_rows,missing_pct,rainfall_null_pct
rainfall_tel_hr_cwc_ap_2021_2025.csv,AP,Andhra Pradesh,5.17 MB,5417228,31274,20,27,2021-01-01 05:30:00,2025-12-29 07:30:00,0,1.34%,26.8%
rainfall_tel_hr_cwc_ar_2021_2025.csv,AR,Arunachal Pradesh,2.68 MB,2808418,18290,20,14,2021-01-01 06:00:00,2025-09-18 03:00:00,0,0.00%,0.0%
rainfall_tel_hr_cwc_as_2021_2025.csv,AS,Assam,18.28 MB,19171861,137659,20,40,2021-01-01 04:00:00,2025-12-30 01:00:00,0,3.72%,74.4%
rainfall_tel_hr_cwc_br_2021_2025.csv,BR,Bihar,9.26 MB,9707980,73554,20,58,2021-01-01 05:30:00,2025-12-29 19:00:00,0,1.41%,28.2%
rainfall_tel_hr_cwc_cg_2021_2025.csv,CG,Chhattisgarh,5.58 MB,5850926,40151,20,38,2021-01-01 01:00:00,2025-12-27 13:00:00,0,0.00%,0.0%
rainfall_tel_hr_cwc_gj_2021_2025.csv,GJ,Gujarat,65.64 MB,68833276,491009,20,45,2021-01-01 05:30:00,2025-12-30 02:00:00,0,4.93%,98.5%
rainfall_tel_hr_cwc_hp_2021_2025.csv,HP,Himachal Pradesh,5.87 MB,6157213,48114,20,18,2021-01-01 05:30:00,2025-12-30 04:30:00,0,4.31%,86.3%
rainfall_tel_hr_cwc_hr_2021_2025.csv,HR,Haryana,203.61 KB,208494,1693,20,2,2021-01-02 05:30:00,2025-12-29 12:00:00,0,0.00%,0.0%
rainfall_tel_hr_cwc_jh_2021_2025.csv,JH,Jharkhand,9.81 MB,10286386,67789,20,28,2021-01-01 00:00:00,2025-12-29 11:30:00,0,1.43%,28.3%
rainfall_tel_hr_cwc_ka_2021_2025.csv,KA,Karnataka,4.70 MB,4926940,33838,20,31,2021-01-01 05:00:00,2025-12-29 19:00:00,0,0.00%,0.0%
rainfall_tel_hr_cwc_kl_2021_2025.csv,KL,Kerala,1.26 MB,1318119,9206,20,4,2021-01-03 20:30:00,2025-12-28 02:00:00,0,0.00%,0.0%
rainfall_tel_hr_cwc_mh_2021_2025.csv,MH,Maharashtra,35.02 MB,36719484,266707,20,58,2021-01-01 05:30:00,2025-12-29 14:30:00,0,4.58%,91.5%
rainfall_tel_hr_cwc_mn_2021_2025.csv,MN,Manipur,1.28 KB,1311,9,20,1,2022-07-04 05:00:00,2023-04-12 22:00:00,0,0.00%,0.0%
rainfall_tel_hr_cwc_mp_2021_2025.csv,MP,Madhya Pradesh,30.31 MB,31786769,227817,20,70,2021-01-01 05:30:00,2025-12-29 19:00:00,0,3.48%,69.7%
rainfall_tel_hr_cwc_nl_2021_2025.csv,NL,Nagaland,228.11 KB,233582,1368,20,1,2021-01-21 09:30:00,2025-12-20 08:00:00,0,0.00%,0.0%
rainfall_tel_hr_cwc_od_2021_2025.csv,OD,Odisha,52.61 MB,55166237,357371,20,69,2021-01-01 00:00:00,2025-12-29 11:30:00,0,3.43%,68.5%
rainfall_tel_hr_cwc_rj_2021_2025.csv,RJ,Rajasthan,24.37 MB,25548745,179762,20,45,2021-01-01 05:30:00,2025-12-29 22:00:00,0,4.12%,82.3%
rainfall_tel_hr_cwc_sk_2021_2025.csv,SK,Sikkim,14.86 MB,15577764,105564,20,33,2021-01-10 11:30:00,2025-12-29 12:30:00,0,0.54%,10.8%
rainfall_tel_hr_cwc_tn_2021_2025.csv,TN,Tamil Nadu,10.92 MB,11450090,81008,20,55,2021-01-01 05:30:00,2025-12-30 01:00:00,0,3.18%,31.8%
rainfall_tel_hr_cwc_tr_2021_2025.csv,TR,Tripura,605.23 KB,619754,4354,20,5,2021-01-12 11:00:00,2025-12-08 10:00:00,0,0.00%,0.0%
rainfall_tel_hr_cwc_ts_2021_2025.csv,TS,Telangana,2.04 MB,2137180,16546,20,24,2021-01-01 15:51:00,2025-12-28 11:30:00,0,3.37%,0.0%
rainfall_tel_hr_cwc_uk_2021_2025.csv,UK,Uttarakhand,9.75 MB,10228002,77507,20,45,2021-01-01 04:44:00,2025-12-29 17:30:00,0,2.53%,50.6%
rainfall_tel_hr_cwc_up_2021_2025.csv,UP,Uttar Pradesh,72.15 MB,75658639,552647,20,77,2021-01-01 05:30:00,2025-12-29 21:30:00,0,4.62%,92.5%
rainfall_tel_hr_cwc_wb_2021_2025.csv,WB,West Bengal,10.12 MB,10616498,69516,20,32,2021-01-01 05:30:00,2025-12-29 10:00:00,0,2.50%,50.0%
