Group_Key,Source_File,Total_Records,Clean_CSV,CSV_Size_MB,Clean_Excel,Excel_Size_MB
wb_an,wb_an_shp.zip,433,cleaned_wb_an.csv,0.08,cleaned_wb_an.xlsx,0.05
wb_ap,wb_ap_shp.zip,76015,cleaned_wb_ap.csv,12.31,cleaned_wb_ap.xlsx,7.95
wb_ar,wb_ar_shp.zip,9401,cleaned_wb_ar.csv,1.65,cleaned_wb_ar.xlsx,1.06
wb_as,wb_as_shp.zip,52627,cleaned_wb_as.csv,8.67,cleaned_wb_as.xlsx,5.77
wb_br,wb_br_shp.zip,152363,cleaned_wb_br.csv,26.85,cleaned_wb_br.xlsx,16.72
wb_cg,wb_cg_shp.zip,116055,cleaned_wb_cg.csv,20.6,cleaned_wb_cg.xlsx,12.65
wb_ch,wb_ch.kml,39,cleaned_wb_ch.csv,0.01,cleaned_wb_ch.xlsx,0.01
wb_dd,wb_dd_shp.zip,121,cleaned_wb_dd.csv,0.02,cleaned_wb_dd.xlsx,0.02
wb_dl,wb_dl_shp.zip,1092,cleaned_wb_dl.csv,0.18,cleaned_wb_dl.xlsx,0.13
wb_ga,wb_ga_shp.zip,554,cleaned_wb_ga.csv,0.1,cleaned_wb_ga.xlsx,0.07
wb_gj,wb_gj_shp.zip,71434,cleaned_wb_gj.csv,11.6,cleaned_wb_gj.xlsx,7.76
wb_hp,wb_hp_shp.zip,2045,cleaned_wb_hp.csv,0.37,cleaned_wb_hp.xlsx,0.23
wb_hr,wb_hr_shp.zip,25708,cleaned_wb_hr.csv,4.52,cleaned_wb_hr.xlsx,2.81
wb_jh,wb_jh_shp.zip,137396,cleaned_wb_jh.csv,24.75,cleaned_wb_jh.xlsx,14.99
wb_jk,wb_jk_shp.zip,2050,cleaned_wb_jk.csv,0.34,cleaned_wb_jk.xlsx,0.23
wb_kl,wb_kl_shp.zip,9196,cleaned_wb_kl.csv,1.48,cleaned_wb_kl.xlsx,1.0
wb_ld,wb_ld_shp.zip,40,cleaned_wb_ld.csv,0.01,cleaned_wb_ld.xlsx,0.01
wb_lk,wb_lk.kmz,3552,cleaned_wb_lk.csv,0.67,cleaned_wb_lk.xlsx,0.41
wb_ml,wb_ml.kml,4839,cleaned_wb_ml.csv,0.77,cleaned_wb_ml.xlsx,0.52
wb_pb,wb_pb_shp.zip,19250,cleaned_wb_pb.csv,3.26,cleaned_wb_pb.xlsx,2.11
wb_py,wb_py_shp.zip,562,cleaned_wb_py.csv,0.09,cleaned_wb_py.xlsx,0.07
wb_rj,wb_rj_shp.zip,176211,cleaned_wb_rj.csv,30.24,cleaned_wb_rj.xlsx,19.09
wb_sk,wb_sk_shp.zip,753,cleaned_wb_sk.csv,0.13,cleaned_wb_sk.xlsx,0.09
wb_tn,wb_tn_shp.zip,64493,cleaned_wb_tn.csv,10.76,cleaned_wb_tn.xlsx,7.04
wb_tr,wb_tr.kml,5093,cleaned_wb_tr.csv,0.82,cleaned_wb_tr.xlsx,0.55
wb_uk,wb_uk_shp.zip,946,cleaned_wb_uk.csv,0.16,cleaned_wb_uk.xlsx,0.11
wb_up,wb_up_shp.zip,303310,cleaned_wb_up.csv,55.92,cleaned_wb_up.xlsx,33.27
wb_wb,wb_wb_shp.zip,395976,cleaned_wb_wb.csv,68.11,cleaned_wb_wb.xlsx,42.87
