Group_Key,Phase,Source_File,Total_Waterbodies,Clean_CSV,CSV_Size_MB,Clean_Excel,Excel_Size_MB
dwa_ph1_an,Phase 1,dwa_ph1_an_shp.zip,2,cleaned_dwa_ph1_an.csv,0.0,cleaned_dwa_ph1_an.xlsx,0.01
dwa_ph1_ap,Phase 1,dwa_ph1_ap_shp.zip,14570,cleaned_dwa_ph1_ap.csv,5.36,cleaned_dwa_ph1_ap.xlsx,3.55
dwa_ph1_ar,Phase 1,dwa_ph1_ar_shp.zip,39,cleaned_dwa_ph1_ar.csv,0.01,cleaned_dwa_ph1_ar.xlsx,0.01
dwa_ph1_as,Phase 1,dwa_ph1_as_shp.zip,1198,cleaned_dwa_ph1_as.csv,0.39,cleaned_dwa_ph1_as.xlsx,0.29
dwa_ph1_br,Phase 1,dwa_ph1_br_shp.zip,2261,cleaned_dwa_ph1_br.csv,0.71,cleaned_dwa_ph1_br.xlsx,0.55
dwa_ph1_cg,Phase 1,dwa_ph1_cg_shp.zip,7773,cleaned_dwa_ph1_cg.csv,2.45,cleaned_dwa_ph1_cg.xlsx,1.83
dwa_ph1_dh_dd,Phase 1,dwa_ph1_dh_dd_shp.zip,13,cleaned_dwa_ph1_dh_dd.csv,0.01,cleaned_dwa_ph1_dh_dd.xlsx,0.01
dwa_ph1_ga,Phase 1,dwa_ph1_ga_shp.zip,525,cleaned_dwa_ph1_ga.csv,0.18,cleaned_dwa_ph1_ga.xlsx,0.13
dwa_ph1_gj,Phase 1,dwa_ph1_gj_shp.zip,6451,cleaned_dwa_ph1_gj.csv,2.19,cleaned_dwa_ph1_gj.xlsx,1.54
dwa_ph1_hp,Phase 1,dwa_ph1_hp_shp.zip,81,cleaned_dwa_ph1_hp.csv,0.03,cleaned_dwa_ph1_hp.xlsx,0.03
dwa_ph1_hr,Phase 1,dwa_ph1_hr_shp.zip,1538,cleaned_dwa_ph1_hr.csv,0.52,cleaned_dwa_ph1_hr.xlsx,0.37
dwa_ph1_jh,Phase 1,dwa_ph1_jh_shp.zip,1757,cleaned_dwa_ph1_jh.csv,0.55,cleaned_dwa_ph1_jh.xlsx,0.42
dwa_ph1_ka,Phase 1,dwa_ph1_ka_shp.zip,5970,cleaned_dwa_ph1_ka.csv,1.99,cleaned_dwa_ph1_ka.xlsx,1.45
dwa_ph1_kl,Phase 1,dwa_ph1_kl_shp.zip,422,cleaned_dwa_ph1_kl.csv,0.16,cleaned_dwa_ph1_kl.xlsx,0.11
dwa_ph1_mh,Phase 1,dwa_ph1_mh_shp.zip,3838,cleaned_dwa_ph1_mh.csv,1.24,cleaned_dwa_ph1_mh.xlsx,0.94
dwa_ph1_ml,Phase 1,dwa_ph1_ml_shp.zip,22,cleaned_dwa_ph1_ml.csv,0.01,cleaned_dwa_ph1_ml.xlsx,0.01
dwa_ph1_mn,Phase 1,dwa_ph1_mn_shp.zip,111,cleaned_dwa_ph1_mn.csv,0.04,cleaned_dwa_ph1_mn.xlsx,0.03
dwa_ph1_mp,Phase 1,dwa_ph1_mp_shp.zip,3662,cleaned_dwa_ph1_mp.csv,1.17,cleaned_dwa_ph1_mp.xlsx,0.88
dwa_ph1_mz,Phase 1,dwa_ph1_mz_shp.zip,41,cleaned_dwa_ph1_mz.csv,0.02,cleaned_dwa_ph1_mz.xlsx,0.02
dwa_ph1_nl,Phase 1,dwa_ph1_nl_shp.zip,9,cleaned_dwa_ph1_nl.csv,0.0,cleaned_dwa_ph1_nl.xlsx,0.01
dwa_ph1_or,Phase 1,dwa_ph1_or_shp.zip,4126,cleaned_dwa_ph1_or.csv,1.33,cleaned_dwa_ph1_or.xlsx,0.99
dwa_ph1_pb,Phase 1,dwa_ph1_pb_shp.zip,625,cleaned_dwa_ph1_pb.csv,0.2,cleaned_dwa_ph1_pb.xlsx,0.15
dwa_ph1_py,Phase 1,dwa_ph1_py_shp.zip,114,cleaned_dwa_ph1_py.csv,0.04,cleaned_dwa_ph1_py.xlsx,0.03
dwa_ph1_rj,Phase 1,dwa_ph1_rj_shp.zip,7996,cleaned_dwa_ph1_rj.csv,2.73,cleaned_dwa_ph1_rj.xlsx,1.94
dwa_ph1_sk,Phase 1,dwa_ph1_sk_shp.zip,5,cleaned_dwa_ph1_sk.csv,0.0,cleaned_dwa_ph1_sk.xlsx,0.01
dwa_ph1_tn,Phase 1,dwa_ph1_tn_shp.zip,12094,cleaned_dwa_ph1_tn.csv,4.5,cleaned_dwa_ph1_tn.xlsx,2.93
dwa_ph1_tr,Phase 1,dwa_ph1_tr_shp.zip,652,cleaned_dwa_ph1_tr.csv,0.22,cleaned_dwa_ph1_tr.xlsx,0.16
dwa_ph1_ts,Phase 1,dwa_ph1_ts_shp.zip,4689,cleaned_dwa_ph1_ts.csv,1.53,cleaned_dwa_ph1_ts.xlsx,1.13
dwa_ph1_uk,Phase 1,dwa_ph1_uk.kmz,33,cleaned_dwa_ph1_uk.csv,0.01,cleaned_dwa_ph1_uk.xlsx,0.01
dwa_ph1_up,Phase 1,dwa_ph1_up_shp.zip,3635,cleaned_dwa_ph1_up.csv,1.14,cleaned_dwa_ph1_up.xlsx,0.88
dwa_ph1_wb,Phase 1,dwa_ph1_wb_shp.zip,9563,cleaned_dwa_ph1_wb.csv,3.02,cleaned_dwa_ph1_wb.xlsx,2.33
dwa_ph2_an,Phase 2,dwa_ph2_an_shp.zip,2,cleaned_dwa_ph2_an.csv,0.0,cleaned_dwa_ph2_an.xlsx,0.01
dwa_ph2_ap,Phase 2,dwa_ph2_ap_shp.zip,11169,cleaned_dwa_ph2_ap.csv,4.31,cleaned_dwa_ph2_ap.xlsx,2.86
dwa_ph2_as,Phase 2,dwa_ph2_as_shp.zip,604,cleaned_dwa_ph2_as.csv,0.2,cleaned_dwa_ph2_as.xlsx,0.15
dwa_ph2_br,Phase 2,dwa_ph2_br_shp.zip,488,cleaned_dwa_ph2_br.csv,0.17,cleaned_dwa_ph2_br.xlsx,0.13
dwa_ph2_cg,Phase 2,dwa_ph2_cg_shp.zip,3444,cleaned_dwa_ph2_cg.csv,1.14,cleaned_dwa_ph2_cg.xlsx,0.85
dwa_ph2_ch,Phase 2,dwa_ph2_ch_shp.zip,5,cleaned_dwa_ph2_ch.csv,0.0,cleaned_dwa_ph2_ch.xlsx,0.01
dwa_ph2_dh_dd,Phase 2,dwa_ph2_dh_dd_shp.zip,10,cleaned_dwa_ph2_dh_dd.csv,0.0,cleaned_dwa_ph2_dh_dd.xlsx,0.01
dwa_ph2_dl,Phase 2,dwa_ph2_dl_shp.zip,24,cleaned_dwa_ph2_dl.csv,0.01,cleaned_dwa_ph2_dl.xlsx,0.01
dwa_ph2_ga,Phase 2,dwa_ph2_ga_shp.zip,169,cleaned_dwa_ph2_ga.csv,0.06,cleaned_dwa_ph2_ga.xlsx,0.05
dwa_ph2_gj,Phase 2,dwa_ph2_gj_shp.zip,5835,cleaned_dwa_ph2_gj.csv,2.1,cleaned_dwa_ph2_gj.xlsx,1.48
dwa_ph2_hp,Phase 2,dwa_ph2_hp_shp.zip,12,cleaned_dwa_ph2_hp.csv,0.0,cleaned_dwa_ph2_hp.xlsx,0.01
dwa_ph2_hr,Phase 2,dwa_ph2_hr_shp.zip,2048,cleaned_dwa_ph2_hr.csv,0.71,cleaned_dwa_ph2_hr.xlsx,0.51
dwa_ph2_jh,Phase 2,dwa_ph2_jh_shp.zip,1468,cleaned_dwa_ph2_jh.csv,0.49,cleaned_dwa_ph2_jh.xlsx,0.37
dwa_ph2_jk,Phase 2,dwa_ph2_jk_shp.zip,10,cleaned_dwa_ph2_jk.csv,0.0,cleaned_dwa_ph2_jk.xlsx,0.01
dwa_ph2_ka,Phase 2,dwa_ph2_ka_shp.zip,8314,cleaned_dwa_ph2_ka.csv,2.82,cleaned_dwa_ph2_ka.xlsx,2.11
dwa_ph2_kl,Phase 2,dwa_ph2_kl_shp.zip,64,cleaned_dwa_ph2_kl.csv,0.02,cleaned_dwa_ph2_kl.xlsx,0.02
dwa_ph2_ld,Phase 2,dwa_ph2_ld_shp.zip,2,cleaned_dwa_ph2_ld.csv,0.0,cleaned_dwa_ph2_ld.xlsx,0.01
dwa_ph2_lk,Phase 2,dwa_ph2_lk_shp.zip,24,cleaned_dwa_ph2_lk.csv,0.01,cleaned_dwa_ph2_lk.xlsx,0.01
dwa_ph2_mh,Phase 2,dwa_ph2_mh_shp.zip,9169,cleaned_dwa_ph2_mh.csv,2.97,cleaned_dwa_ph2_mh.xlsx,2.36
dwa_ph2_ml,Phase 2,dwa_ph2_ml_shp.zip,20,cleaned_dwa_ph2_ml.csv,0.01,cleaned_dwa_ph2_ml.xlsx,0.01
dwa_ph2_mn,Phase 2,dwa_ph2_mn_shp.zip,90,cleaned_dwa_ph2_mn.csv,0.03,cleaned_dwa_ph2_mn.xlsx,0.03
dwa_ph2_mp,Phase 2,dwa_ph2_mp_shp.zip,4651,cleaned_dwa_ph2_mp.csv,1.56,cleaned_dwa_ph2_mp.xlsx,1.18
dwa_ph2_mz,Phase 2,dwa_ph2_mz_shp.zip,6,cleaned_dwa_ph2_mz.csv,0.0,cleaned_dwa_ph2_mz.xlsx,0.01
dwa_ph2_nl,Phase 2,dwa_ph2_nl_shp.zip,37,cleaned_dwa_ph2_nl.csv,0.01,cleaned_dwa_ph2_nl.xlsx,0.01
dwa_ph2_or,Phase 2,dwa_ph2_or_shp.zip,3092,cleaned_dwa_ph2_or.csv,1.02,cleaned_dwa_ph2_or.xlsx,0.79
dwa_ph2_pb,Phase 2,dwa_ph2_pb.kmz,1309,cleaned_dwa_ph2_pb.csv,0.41,cleaned_dwa_ph2_pb.xlsx,0.33
dwa_ph2_py,Phase 2,dwa_ph2_py_shp.zip,81,cleaned_dwa_ph2_py.csv,0.04,cleaned_dwa_ph2_py.xlsx,0.03
dwa_ph2_rj,Phase 2,dwa_ph2_rj_shp.zip,7571,cleaned_dwa_ph2_rj.csv,2.71,cleaned_dwa_ph2_rj.xlsx,1.94
dwa_ph2_sk,Phase 2,dwa_ph2_sk_shp.zip,45,cleaned_dwa_ph2_sk.csv,0.01,cleaned_dwa_ph2_sk.xlsx,0.02
dwa_ph2_tn,Phase 2,dwa_ph2_tn_shp.zip,5079,cleaned_dwa_ph2_tn.csv,1.8,cleaned_dwa_ph2_tn.xlsx,1.32
dwa_ph2_tr,Phase 2,dwa_ph2_tr_shp.zip,426,cleaned_dwa_ph2_tr.csv,0.15,cleaned_dwa_ph2_tr.xlsx,0.11
dwa_ph2_ts,Phase 2,dwa_ph2_ts_shp.zip,6409,cleaned_dwa_ph2_ts.csv,2.16,cleaned_dwa_ph2_ts.xlsx,1.66
dwa_ph2_uk,Phase 2,dwa_ph2_uk_shp.zip,123,cleaned_dwa_ph2_uk.csv,0.04,cleaned_dwa_ph2_uk.xlsx,0.04
dwa_ph2_up,Phase 2,dwa_ph2_up_shp.zip,4684,cleaned_dwa_ph2_up.csv,1.56,cleaned_dwa_ph2_up.xlsx,1.21
dwa_ph2_wb,Phase 2,dwa_ph2_wb_shp.zip,1919,cleaned_dwa_ph2_wb.csv,0.67,cleaned_dwa_ph2_wb.xlsx,0.49
