Dataset,Source,Total_Records,Clean_CSV,CSV_Size_MB,Clean_Excel,Excel_Size_MB
swq_manual_physical_parameters_cpcb_ar_2021_2025,swq_manual_physical_parameters_cpcb_ar_2021_2025.csv,3,cleaned_swq_manual_physical_parameters_cpcb_ar_2021_2025.csv,0.0,cleaned_swq_manual_physical_parameters_cpcb_ar_2021_2025.xlsx,0.01
swq_manual_physical_parameters_cpcb_mh_1961_2020,swq_manual_physical_parameters_cpcb_mh_1961_2020.csv,3817,cleaned_swq_manual_physical_parameters_cpcb_mh_1961_2020.csv,0.59,cleaned_swq_manual_physical_parameters_cpcb_mh_1961_2020.xlsx,0.34
swq_physical_parameter_manual_cpcb_as_2021_2025,swq_physical_parameter_manual_cpcb_as_2021_2025.csv,817,cleaned_swq_physical_parameter_manual_cpcb_as_2021_2025.csv,0.11,cleaned_swq_physical_parameter_manual_cpcb_as_2021_2025.xlsx,0.08
swq_physical_parameter_manual_cpcb_br_2021_2025,swq_physical_parameter_manual_cpcb_br_2021_2025.csv,513,cleaned_swq_physical_parameter_manual_cpcb_br_2021_2025.csv,0.07,cleaned_swq_physical_parameter_manual_cpcb_br_2021_2025.xlsx,0.05
swq_physical_parameter_manual_cpcb_cg_2021_2025,swq_physical_parameter_manual_cpcb_cg_2021_2025.csv,186,cleaned_swq_physical_parameter_manual_cpcb_cg_2021_2025.csv,0.03,cleaned_swq_physical_parameter_manual_cpcb_cg_2021_2025.xlsx,0.02
swq_physical_parameter_manual_cpcb_ch_2021_2025,swq_physical_parameter_manual_cpcb_ch_2021_2025.csv,41,cleaned_swq_physical_parameter_manual_cpcb_ch_2021_2025.csv,0.01,cleaned_swq_physical_parameter_manual_cpcb_ch_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_dd_2021_2025,swq_physical_parameter_manual_cpcb_dd_2021_2025.csv,20,cleaned_swq_physical_parameter_manual_cpcb_dd_2021_2025.csv,0.0,cleaned_swq_physical_parameter_manual_cpcb_dd_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_dl_2021_2025,swq_physical_parameter_manual_cpcb_dl_2021_2025.csv,75,cleaned_swq_physical_parameter_manual_cpcb_dl_2021_2025.csv,0.01,cleaned_swq_physical_parameter_manual_cpcb_dl_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_dn_2021_2025,swq_physical_parameter_manual_cpcb_dn_2021_2025.csv,20,cleaned_swq_physical_parameter_manual_cpcb_dn_2021_2025.csv,0.0,cleaned_swq_physical_parameter_manual_cpcb_dn_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_ga_2021_2025,swq_physical_parameter_manual_cpcb_ga_2021_2025.csv,365,cleaned_swq_physical_parameter_manual_cpcb_ga_2021_2025.csv,0.05,cleaned_swq_physical_parameter_manual_cpcb_ga_2021_2025.xlsx,0.04
