Dataset,Source,Total_Records,Clean_CSV,CSV_Size_MB,Clean_Excel,Excel_Size_MB
basin_cwc,basin_cwc_shp.zip,25,cleaned_basin_cwc.csv,0.01,cleaned_basin_cwc.xlsx,0.01
district_nwic,district_nwic_geojson.zip,733,cleaned_district_nwic.csv,0.09,cleaned_district_nwic.xlsx,0.06
state_nwic,state_nwic_shp.zip,36,cleaned_state_nwic.csv,0.0,cleaned_state_nwic.xlsx,0.01
subdistrict_nwic,subdistrict_nwic_shp.zip,6312,cleaned_subdistrict_nwic.csv,1.61,cleaned_subdistrict_nwic.xlsx,1.21
inter_basin_transfer_link,inter_basin_transfer_link_shp.zip,30,cleaned_inter_basin_transfer_link.csv,0.0,cleaned_inter_basin_transfer_link.xlsx,0.01
swq_manual_physical_parameters_cpcb_ar_2021_2025,swq_manual_physical_parameters_cpcb_ar_2021_2025.csv,3,cleaned_swq_manual_physical_parameters_cpcb_ar_2021_2025.csv,0.0,cleaned_swq_manual_physical_parameters_cpcb_ar_2021_2025.xlsx,0.01
swq_manual_physical_parameters_cpcb_mh_1961_2020,swq_manual_physical_parameters_cpcb_mh_1961_2020.csv,3817,cleaned_swq_manual_physical_parameters_cpcb_mh_1961_2020.csv,0.58,cleaned_swq_manual_physical_parameters_cpcb_mh_1961_2020.xlsx,0.34
swq_physical_parameter_manual_cpcb_as_2021_2025,swq_physical_parameter_manual_cpcb_as_2021_2025.csv,817,cleaned_swq_physical_parameter_manual_cpcb_as_2021_2025.csv,0.11,cleaned_swq_physical_parameter_manual_cpcb_as_2021_2025.xlsx,0.08
swq_physical_parameter_manual_cpcb_br_2021_2025,swq_physical_parameter_manual_cpcb_br_2021_2025.csv,513,cleaned_swq_physical_parameter_manual_cpcb_br_2021_2025.csv,0.07,cleaned_swq_physical_parameter_manual_cpcb_br_2021_2025.xlsx,0.05
swq_physical_parameter_manual_cpcb_cg_2021_2025,swq_physical_parameter_manual_cpcb_cg_2021_2025.csv,186,cleaned_swq_physical_parameter_manual_cpcb_cg_2021_2025.csv,0.03,cleaned_swq_physical_parameter_manual_cpcb_cg_2021_2025.xlsx,0.02
swq_physical_parameter_manual_cpcb_ch_2021_2025,swq_physical_parameter_manual_cpcb_ch_2021_2025.csv,41,cleaned_swq_physical_parameter_manual_cpcb_ch_2021_2025.csv,0.01,cleaned_swq_physical_parameter_manual_cpcb_ch_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_dd_2021_2025,swq_physical_parameter_manual_cpcb_dd_2021_2025.csv,20,cleaned_swq_physical_parameter_manual_cpcb_dd_2021_2025.csv,0.0,cleaned_swq_physical_parameter_manual_cpcb_dd_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_dl_2021_2025,swq_physical_parameter_manual_cpcb_dl_2021_2025.csv,75,cleaned_swq_physical_parameter_manual_cpcb_dl_2021_2025.csv,0.01,cleaned_swq_physical_parameter_manual_cpcb_dl_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_dn_2021_2025,swq_physical_parameter_manual_cpcb_dn_2021_2025.csv,20,cleaned_swq_physical_parameter_manual_cpcb_dn_2021_2025.csv,0.0,cleaned_swq_physical_parameter_manual_cpcb_dn_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_ga_2021_2025,swq_physical_parameter_manual_cpcb_ga_2021_2025.csv,365,cleaned_swq_physical_parameter_manual_cpcb_ga_2021_2025.csv,0.04,cleaned_swq_physical_parameter_manual_cpcb_ga_2021_2025.xlsx,0.04
swq_physical_parameter_manual_cpcb_gj_2021_2025,swq_physical_parameter_manual_cpcb_gj_2021_2025.csv,621,cleaned_swq_physical_parameter_manual_cpcb_gj_2021_2025.csv,0.09,cleaned_swq_physical_parameter_manual_cpcb_gj_2021_2025.xlsx,0.06
swq_physical_parameter_manual_cpcb_hp_2021_2025,swq_physical_parameter_manual_cpcb_hp_2021_2025.csv,545,cleaned_swq_physical_parameter_manual_cpcb_hp_2021_2025.csv,0.08,cleaned_swq_physical_parameter_manual_cpcb_hp_2021_2025.xlsx,0.06
swq_physical_parameter_manual_cpcb_hr_2021_2025,swq_physical_parameter_manual_cpcb_hr_2021_2025.csv,201,cleaned_swq_physical_parameter_manual_cpcb_hr_2021_2025.csv,0.03,cleaned_swq_physical_parameter_manual_cpcb_hr_2021_2025.xlsx,0.02
swq_physical_parameter_manual_cpcb_jh_2021_2025,swq_physical_parameter_manual_cpcb_jh_2021_2025.csv,131,cleaned_swq_physical_parameter_manual_cpcb_jh_2021_2025.csv,0.02,cleaned_swq_physical_parameter_manual_cpcb_jh_2021_2025.xlsx,0.02
swq_physical_parameter_manual_cpcb_jk_2021_2025,swq_physical_parameter_manual_cpcb_jk_2021_2025.csv,256,cleaned_swq_physical_parameter_manual_cpcb_jk_2021_2025.csv,0.04,cleaned_swq_physical_parameter_manual_cpcb_jk_2021_2025.xlsx,0.03
swq_physical_parameter_manual_cpcb_ka_2021_2025,swq_physical_parameter_manual_cpcb_ka_2021_2025.csv,2115,cleaned_swq_physical_parameter_manual_cpcb_ka_2021_2025.csv,0.28,cleaned_swq_physical_parameter_manual_cpcb_ka_2021_2025.xlsx,0.2
swq_physical_parameter_manual_cpcb_kl_2021_2025,swq_physical_parameter_manual_cpcb_kl_2021_2025.csv,535,cleaned_swq_physical_parameter_manual_cpcb_kl_2021_2025.csv,0.07,cleaned_swq_physical_parameter_manual_cpcb_kl_2021_2025.xlsx,0.05
swq_physical_parameter_manual_cpcb_ld_2021_2025,swq_physical_parameter_manual_cpcb_ld_2021_2025.csv,99,cleaned_swq_physical_parameter_manual_cpcb_ld_2021_2025.csv,0.01,cleaned_swq_physical_parameter_manual_cpcb_ld_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_mh_2021_2025,swq_physical_parameter_manual_cpcb_mh_2021_2025.csv,828,cleaned_swq_physical_parameter_manual_cpcb_mh_2021_2025.csv,0.13,cleaned_swq_physical_parameter_manual_cpcb_mh_2021_2025.xlsx,0.08
swq_physical_parameter_manual_cpcb_ml_2021_2025,swq_physical_parameter_manual_cpcb_ml_2021_2025.csv,280,cleaned_swq_physical_parameter_manual_cpcb_ml_2021_2025.csv,0.04,cleaned_swq_physical_parameter_manual_cpcb_ml_2021_2025.xlsx,0.03
swq_physical_parameter_manual_cpcb_mn_2021_2025,swq_physical_parameter_manual_cpcb_mn_2021_2025.csv,224,cleaned_swq_physical_parameter_manual_cpcb_mn_2021_2025.csv,0.03,cleaned_swq_physical_parameter_manual_cpcb_mn_2021_2025.xlsx,0.03
swq_physical_parameter_manual_cpcb_mp_2021_2025,swq_physical_parameter_manual_cpcb_mp_2021_2025.csv,897,cleaned_swq_physical_parameter_manual_cpcb_mp_2021_2025.csv,0.13,cleaned_swq_physical_parameter_manual_cpcb_mp_2021_2025.xlsx,0.09
swq_physical_parameter_manual_cpcb_mz_2021_2025,swq_physical_parameter_manual_cpcb_mz_2021_2025.csv,248,cleaned_swq_physical_parameter_manual_cpcb_mz_2021_2025.csv,0.03,cleaned_swq_physical_parameter_manual_cpcb_mz_2021_2025.xlsx,0.03
swq_physical_parameter_manual_cpcb_nl_2021_2025,swq_physical_parameter_manual_cpcb_nl_2021_2025.csv,86,cleaned_swq_physical_parameter_manual_cpcb_nl_2021_2025.csv,0.01,cleaned_swq_physical_parameter_manual_cpcb_nl_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_od_2021_2025,swq_physical_parameter_manual_cpcb_od_2021_2025.csv,860,cleaned_swq_physical_parameter_manual_cpcb_od_2021_2025.csv,0.11,cleaned_swq_physical_parameter_manual_cpcb_od_2021_2025.xlsx,0.09
swq_physical_parameter_manual_cpcb_pb_2021_2025,swq_physical_parameter_manual_cpcb_pb_2021_2025.csv,261,cleaned_swq_physical_parameter_manual_cpcb_pb_2021_2025.csv,0.04,cleaned_swq_physical_parameter_manual_cpcb_pb_2021_2025.xlsx,0.03
swq_physical_parameter_manual_cpcb_py_2021_2025,swq_physical_parameter_manual_cpcb_py_2021_2025.csv,41,cleaned_swq_physical_parameter_manual_cpcb_py_2021_2025.csv,0.01,cleaned_swq_physical_parameter_manual_cpcb_py_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_rj_2021_2025,swq_physical_parameter_manual_cpcb_rj_2021_2025.csv,479,cleaned_swq_physical_parameter_manual_cpcb_rj_2021_2025.csv,0.07,cleaned_swq_physical_parameter_manual_cpcb_rj_2021_2025.xlsx,0.05
swq_physical_parameter_manual_cpcb_sk_2021_2025,swq_physical_parameter_manual_cpcb_sk_2021_2025.csv,36,cleaned_swq_physical_parameter_manual_cpcb_sk_2021_2025.csv,0.01,cleaned_swq_physical_parameter_manual_cpcb_sk_2021_2025.xlsx,0.01
swq_physical_parameter_manual_cpcb_tn_2021_2025,swq_physical_parameter_manual_cpcb_tn_2021_2025.csv,401,cleaned_swq_physical_parameter_manual_cpcb_tn_2021_2025.csv,0.06,cleaned_swq_physical_parameter_manual_cpcb_tn_2021_2025.xlsx,0.04
swq_physical_parameter_manual_cpcb_tr_2021_2025,swq_physical_parameter_manual_cpcb_tr_2021_2025.csv,525,cleaned_swq_physical_parameter_manual_cpcb_tr_2021_2025.csv,0.07,cleaned_swq_physical_parameter_manual_cpcb_tr_2021_2025.xlsx,0.05
swq_physical_parameter_manual_cpcb_ts_2021_2025,swq_physical_parameter_manual_cpcb_ts_2021_2025.csv,816,cleaned_swq_physical_parameter_manual_cpcb_ts_2021_2025.csv,0.12,cleaned_swq_physical_parameter_manual_cpcb_ts_2021_2025.xlsx,0.08
swq_physical_parameter_manual_cpcb_uk_2021_2025,swq_physical_parameter_manual_cpcb_uk_2021_2025.csv,197,cleaned_swq_physical_parameter_manual_cpcb_uk_2021_2025.csv,0.03,cleaned_swq_physical_parameter_manual_cpcb_uk_2021_2025.xlsx,0.02
swq_physical_parameter_manual_cpcb_up_2021_2025,swq_physical_parameter_manual_cpcb_up_2021_2025.csv,400,cleaned_swq_physical_parameter_manual_cpcb_up_2021_2025.csv,0.06,cleaned_swq_physical_parameter_manual_cpcb_up_2021_2025.xlsx,0.04
swq_physical_parameter_manual_cpcb_wb_2021_2025,swq_physical_parameter_manual_cpcb_wb_2021_2025.csv,470,cleaned_swq_physical_parameter_manual_cpcb_wb_2021_2025.csv,0.07,cleaned_swq_physical_parameter_manual_cpcb_wb_2021_2025.xlsx,0.05
